epoch,train_loss,train_accuracy,train_macro_f1,validation_loss,validation_accuracy,validation_macro_f1,improved,epochs_without_improvement,epoch_seconds
1,0.04447898504659827,0.9871615118060586,0.9800072013715998,0.005965444856843586,0.9986608727452646,0.9978187023055557,True,0,4.2001235000789165
2,0.004993001834806499,0.9989954738791565,0.9983290526370311,0.0036172755435222295,0.9991744737606351,0.9986188622133642,True,0,4.249547499930486
3,0.0031937024934930508,0.999346425158489,0.9988882555561927,0.0027588932002932547,0.9994648869002162,0.9991051698614516,True,0,2.5401754000922665
4,0.0024567448776719007,0.9995172981584263,0.9991746492819426,0.002520642815219797,0.9994111066891826,0.9990167692732351,False,1,1.9804873999673873
5,0.0023075257446566167,0.9995569959260885,0.9992398369053993,0.0019180057546146275,0.9996262275333169,0.9993736698660429,True,0,2.1237407999578863
6,0.0018695760484537432,0.9996617059799221,0.9994186641233561,0.0016337849710782667,0.9996907637865571,0.9994791110933487,False,1,2.115058399969712
7,0.0018383689994381125,0.9996818425287363,0.9994530210774158,0.0030069506425753787,0.9993546374675975,0.9989755709511964,False,2,2.111923399963416
8,0.0017092839844349043,0.9997037050674488,0.9994858538626442,0.0025826723330506837,0.9994648869002162,0.9990775305851831,False,3,2.1235013999976218
9,0.001729963840382841,0.9996939244580247,0.9994713372873436,0.001407801060998487,0.9997472330081423,0.9995753470279424,True,0,1.8891531999688596
10,0.001468085983602493,0.9997428275051449,0.9995552264120505,0.0016958220688998728,0.9997095868604189,0.9995168526044819,False,1,1.802567399921827
11,0.00683699169335768,0.9987664925526413,0.9979202429299033,0.0023884784366092785,0.9994595088791128,0.9991133317829854,False,2,1.7695005999412388
12,0.001808936419233491,0.9996260355220228,0.9993740039305917,0.001822910207740917,0.9995778253433867,0.9993224140970579,False,3,1.786145000020042
13,0.0014422149258598398,0.9997152116667711,0.9995174788056392,0.0014983230904644944,0.9997176538920739,0.9995247749830436,False,4,1.8407936000730842
