epoch,train_loss,train_accuracy,validation_macro_f1,validation_accuracy,validation_gafgyt_fnr,validation_mirai_fnr,improved,epochs_without_improvement,epoch_elapsed_seconds,validation_elapsed_seconds
1,0.08415342512079206,0.990896549746739,0.9899569425765327,0.9936954843637792,0.041460865288053594,0.0008903090470034902,True,0,9.849428400048055,0.6752370999893174
2,0.007283765033366528,0.9985813735718433,0.9969396242288767,0.9981387692746311,0.007992949808374172,0.0009390931043734563,True,0,9.638896999997087,0.5947786000324413
3,0.004506025970897699,0.9990857451177291,0.9980614268686225,0.9988219377778734,0.0031766851802512708,0.0010651185859127388,True,0,8.461761699989438,0.5490560000762343
4,0.003351647785872186,0.9992844961790923,0.9983777008940931,0.9990532467986563,0.0029922324923656873,0.0007520875511216607,True,0,9.311667299945839,0.6267365999519825
5,0.002701047755285283,0.9994135214582723,0.9984210474599754,0.9991097292339637,0.002705306088988224,0.0005854086884405918,False,1,9.796750799985602,0.6367691999766976
6,0.002101198092093779,0.9995412434518042,0.9983367090955021,0.999037108959997,0.002438874428709048,0.0007846102560350454,False,2,9.65365750005003,0.6274773000041023
7,0.0020836149533158916,0.9995490631656939,0.9991872042712632,0.9995346923186578,0.0022749164839218627,0.00021546292005103496,True,0,9.800750199938193,0.6311995000578463
8,0.0017666023272999852,0.9996344283756564,0.9992110892473707,0.9995535197970936,0.0022134322546266683,0.00019513622948019727,False,1,9.797573000076227,0.6459629000164568
9,0.0016179883798486065,0.999659842445798,0.9991231835023463,0.9995293130391046,0.0019470005943476032,0.00010163345285429948,False,2,8.742571100010537,0.5423915999708697
10,0.0015325259066436,0.9996911213013567,0.9989501990497986,0.9994351756469256,0.0022749164839218627,0.00015448284833852188,False,3,9.040635899989866,0.6240472999634221
11,0.0015480022354755704,0.9996963344439499,0.9992515561544625,0.9995750369153059,0.0022544217408234646,0.00016261352456681255,False,4,9.290264999959618,0.6320260000647977
