epoch,learning_rate,train_loss,train_accuracy,train_macro_f1,train_weighted_f1,validation_loss,validation_accuracy,validation_macro_f1,validation_weighted_f1,validation_mcc,train_sample_count,validation_sample_count,train_elapsed_seconds,validation_elapsed_seconds,improved
1,0.001,0.4320822267082664,0.8829371346348605,0.5948526840103853,0.8611859021238544,0.3805878150953803,0.9445809669700103,0.6535161404205402,0.9181913233801843,0.869302017725001,1595664,341417,10.351472200010903,1.29950139997527,True
2,0.001,0.20119116551059396,0.9457291760671419,0.6945143950215327,0.9251936589059566,0.13119523665643573,0.9531862795349968,0.8807860055438951,0.957525888801833,0.8989389661197862,1595664,341417,10.24829120002687,1.2604620000347495,True
3,0.001,0.1859077863693084,0.943009931915491,0.7209568067069112,0.9272441343813057,0.07388513357208024,0.9760410290055855,0.9049870215619059,0.9732188887927926,0.9436742853905533,1595664,341417,10.321951999969315,1.3354147999780253,True
4,0.001,0.1361210251146495,0.970119649249466,0.8755356744951662,0.9658854493559152,0.06763507217902313,0.9826634291789805,0.9344588737881446,0.9812436050938884,0.9593331145889323,1595664,341417,10.451530000020284,1.2687774000223726,True
5,0.001,0.11315188389915436,0.9772489697079084,0.9304753279942507,0.9772749348733947,0.05235803188891058,0.9879414323246939,0.9566538296063835,0.9872924300659769,0.9717342253933011,1595664,341417,10.311774000001606,1.3048135999706574,True
6,0.001,0.07046053083072498,0.9834131747034464,0.9414266112161888,0.9827210561742186,0.164773960926781,0.9562792713895325,0.7714952062278332,0.9427576743353481,0.8971593516288974,1595664,341417,10.329127500008326,1.255417500040494,False
7,0.001,0.04985109388042301,0.9855370554201887,0.9538684798355693,0.9853644939697371,0.04671837371370756,0.9835069724120358,0.9374453543413677,0.9821764006846524,0.9613329492849383,1595664,341417,10.568133099994157,1.3276688000187278,False
8,0.001,0.04534300023662196,0.9895134564670256,0.9638597954360982,0.9891820224582271,0.02668540474943528,0.9926512153759186,0.9747788811851056,0.9924391443518488,0.9827772325319334,1595664,341417,10.536678100004792,1.2896683000144549,True
9,0.001,0.035695133563057445,0.9870912673344764,0.9553521693963463,0.9865883167272289,0.11733622546425251,0.9722304396090411,0.9219389056461793,0.9741030170238698,0.9383452659591458,1595664,341417,10.572780899994541,1.304459200007841,False
10,0.001,0.020969153347229718,0.9938577294468008,0.9789893908599568,0.9937491586582629,0.038525885516493455,0.9905570021410768,0.9709039249823581,0.9907837946607787,0.9783115084185698,1595664,341417,10.98075119999703,1.3261687000049278,False
11,0.001,0.018342886950523787,0.9939511075013286,0.9797082248993018,0.9938952405421999,0.06239579298076919,0.9684813585732404,0.917654623130388,0.9714668059739977,0.9323416877400548,1595664,341417,10.521637799974997,1.321528300002683,False
12,0.001,0.03763012779603325,0.9877800088239128,0.9618335494526428,0.9878995225493039,0.06801312237343067,0.9832638679386205,0.9404386395165854,0.9821048869556079,0.9606857074586318,1595664,341417,10.420745800016448,1.376118799962569,False
