epoch,train_loss,train_accuracy,validation_macro_f1,validation_accuracy,validation_gafgyt_fnr,validation_mirai_fnr,improved,epochs_without_improvement,epoch_elapsed_seconds,validation_elapsed_seconds
1,0.05159484345266122,0.9850689079704389,0.9946024832376515,0.9966702259566377,0.017707458037013457,0.001044791895341901,True,0,7.206404099939391,0.6835053000831977
2,0.005562243585700213,0.9989352156253523,0.9978457983901992,0.9987251107459179,0.003197179923349669,0.000983811823629388,True,0,4.486386299948208,0.49734999996144325
3,0.0035706265526982387,0.9992864511075648,0.9982160373759387,0.9989322130087117,0.002459369171807446,0.000947223780601858,True,0,4.302915800013579,0.49191849993076175
4,0.0028372707922573624,0.9994017918874378,0.9983212564771874,0.9989994540031254,0.0023978849425122517,0.0008374596515192678,False,1,4.403994400054216,0.5221129999263212
5,0.002274808532435196,0.9995164810244868,0.9985560261808514,0.9991984873465897,0.002561842887299437,0.0003577497540470098,True,0,4.23212139995303,0.4477697000838816
6,0.0020047385956067517,0.9995627476650009,0.9988363566004765,0.9993249004160872,0.002049474309839483,0.0005244286167280787,True,0,3.677448399947025,0.4187353999586776
7,0.0017287973645896458,0.9996318218043598,0.9992209229881165,0.9995562094368701,0.002315905970118659,0.00015448284833852188,True,0,3.5880590999731794,0.4161824999609962
8,0.009986695888107884,0.9986719519243991,0.9953290391967214,0.9971489818368626,0.011067161273133452,0.0019757543234870667,False,1,3.5374268000014126,0.40410739998333156
9,0.00370209000021866,0.9992062990401953,0.9983404585698207,0.9990155918417847,0.0017215584202652234,0.0008415249896334132,False,2,3.8567970000440255,0.4094267999753356
10,0.002440239731383563,0.9993900623166033,0.9983960105708277,0.9990640053577624,0.0019470005943476032,0.000731760860550823,False,3,3.572146699996665,0.40535220003221184
11,0.0018439467776211007,0.9995366819520352,0.9990610958378464,0.9994513134855849,0.002069969052937881,0.00039027245896039453,False,4,3.6566181000089273,0.42901109997183084
