epoch,train_loss,train_accuracy,validation_macro_f1,validation_accuracy,validation_gafgyt_fnr,validation_mirai_fnr,improved,epochs_without_improvement,epoch_elapsed_seconds,validation_elapsed_seconds
1,0.04493004488268251,0.9892094464750358,0.9966345231575877,0.9979451152107198,0.004447359252351735,0.0018578595181760749,True,0,4.355798400007188,0.5188622999703512
2,0.005358511938053323,0.998943035339242,0.997831177580507,0.9987143521868116,0.0027462955751850204,0.0011098373051686705,True,0,4.27191320003476,0.48776060005184263
3,0.003533257000776289,0.9992779797508509,0.9982698664051677,0.9989752472451364,0.0025003586580042425,0.0009309624281451656,True,0,4.279176899930462,0.5063140999991447
4,0.002663314770729084,0.9994415420997105,0.9987463663456304,0.9992764869001095,0.0027462955751850204,0.00047564455935800165,True,0,4.227205200004391,0.5026078000664711
5,0.0020227959811534527,0.9995399401661559,0.9988944955385666,0.9993813828513947,0.002684811345889826,0.0003455537397045738,False,1,4.200396100059152,0.4891319000162184
6,0.0018135487586305034,0.9996070593770425,0.9990058788608155,0.9994593824049145,0.0018240321357572142,0.00016261352456681255,True,0,4.423358700005338,0.6224896999774501
7,0.0014185121209934507,0.9996989410152465,0.9993717020135146,0.9996422779097196,0.0018240321357572142,9.756811474015414e-05,True,0,4.805478900088929,0.7723786000860855
8,0.0019829069870597902,0.9995940265205596,0.9992325319770122,0.9995696576357529,0.0016805689340684271,0.00018294021513765024,False,1,8.512142300023697,0.9932937999255955
9,0.001138986040341427,0.9997673635117814,0.9988829792851011,0.9993894517707244,0.0037710327301047064,0.00017074420079521424,False,2,8.674374699941836,0.932112899958156
10,0.0010938077480760668,0.9997816996539125,0.9985367082366633,0.9992415215830144,0.004631811940237318,0.0001341561577676842,False,3,8.536737899994478,0.9564927000319585
11,0.0013330909177563406,0.9997393428703433,0.9850036602493244,0.9904867441103613,0.07078884266185725,0.00022359359627943665,False,4,8.909225800074637,0.9861985000316054
