arm,seed,best_epoch,test_loss,test_sample_count,test_accuracy,test_balanced_accuracy,test_macro_precision,test_macro_recall,test_macro_f1
naive_row,42,3,0.0021915106040473363,1058549,0.999518208415482,0.9994731790978926,0.9990192879476106,0.9994731790978926,0.9992460164478967
naive_row,123,5,0.002770361345668599,1058549,0.9995871707403248,0.999473276776881,0.9990527245477606,0.999473276776881,0.9992628023418567
naive_row,2026,2,0.0023824334606094093,1058549,0.999465305810123,0.9993904607174211,0.9987040951375473,0.9993904607174211,0.9990467688510535
naive_row,3407,5,0.0020705322944190307,1058549,0.9995219871730076,0.9995093283177456,0.9987549458935514,0.9995093283177456,0.9991315234253063
naive_row,8192,2,0.0024573362504133433,1058549,0.9995465490969242,0.9994832461315554,0.9986813905331742,0.9994832461315554,0.9990815993911459
grouped,42,2,0.0027532729623073672,1059212,0.9994014418265654,0.9993946130944313,0.9985699838874164,0.9993946130944313,0.9989815822302699
grouped,123,1,0.003458709413705249,1059212,0.9994505349259638,0.9992632156586324,0.998718787471594,0.9992632156586324,0.9989906820549468
grouped,2026,1,0.0033818882658598727,1059212,0.9992041253309064,0.9990974077738873,0.9981917362869729,0.9990974077738873,0.9986437080415883
grouped,3407,4,0.0025348538720120603,1059212,0.9993457400407095,0.9993717239723598,0.9982279546225374,0.9993717239723598,0.9987984142326806
grouped,8192,3,0.00254848875085265,1059212,0.9994307088665914,0.999365613767364,0.9983708383990502,0.999365613767364,0.9988671495756706
