epoch,train_loss,train_accuracy,train_macro_f1,validation_loss,validation_accuracy,validation_macro_f1,improved,epochs_without_improvement,epoch_seconds
1,0.07420841326735939,0.9839885670429133,0.9747069648806725,0.006708002967364889,0.9985049101332674,0.9975406175160556,True,0,17.09087690000888
2,0.006289724198834222,0.9987342740745386,0.9979138212273352,0.0035830975713126373,0.9992148089189102,0.9986907364069456,True,0,15.417733400012366
3,0.003749538996034334,0.9992440164245199,0.9987308640742381,0.0021965731702068155,0.9995132890901464,0.9991804115675532,True,0,15.43397090001963
4,0.0027381247126102167,0.9994781757207303,0.9991050504753458,0.0018644096793797743,0.9995509352378699,0.9992417124783262,False,1,15.543781000073068
5,0.002327704846307073,0.9995662012055464,0.9992564199621538,0.0017773265408836895,0.9995939594066967,0.9992712557040337,False,2,14.84109530004207
6,0.002032855992402856,0.9996335148115824,0.9993645061069572,0.0015918530880225967,0.9996934527971088,0.9994655023493247,True,0,15.55694769998081
7,0.0019244382845490574,0.9996444460809386,0.999381105424527,0.0013752118624117857,0.9997257209237289,0.9995339523498249,False,1,15.641382100060582
8,0.0017753044182706157,0.9996726372492784,0.9994302324226744,0.0016428092609677874,0.9997337879553839,0.9995290202362351,False,2,15.702961000031792
9,0.0018254395888625118,0.9996824178587024,0.9994538165869793,0.001525565123747631,0.9996988308182121,0.9994895403691787,False,3,15.515128499944694
10,0.0016165296892548873,0.9997031297374827,0.9994936105222155,0.0013197549426267434,0.9997633670714524,0.9996074896121852,False,4,15.826975799980573
