epoch,train_loss,train_accuracy,train_macro_f1,train_mcc,validation_loss,validation_accuracy,validation_macro_f1,validation_mcc,improved,epochs_without_improvement
1,0.02005771213036212,0.9930762366011893,0.9772516523572127,0.9837921908938757,0.01752973094785659,0.9936675678129677,0.978474420326162,0.9851451925005297,True,0
2,0.018205854601881042,0.9931921757964083,0.9766877897886211,0.9840611841126693,0.015620538586337385,0.9943822363854172,0.9808746439791403,0.986826950705737,True,0
3,0.015553953028400595,0.9941153024696928,0.9797432866146942,0.9862330715298959,0.01792267303004861,0.9947073520064906,0.9825599424189996,0.9875967322671196,True,0
4,0.016304018675696242,0.9942481625204304,0.9805503749072093,0.98653626946129,0.014150235818128966,0.9946370567370694,0.9816932225815856,0.9874269697695403,False,1
5,0.015455448847207919,0.9941717053214211,0.9800134336612573,0.9863630230808222,0.013460218805801515,0.9954483813049732,0.9846892485799117,0.9893282684955319,True,0
6,0.01306800953994615,0.9953404977488995,0.9842149254540491,0.9890993608015873,0.013973024351746648,0.9958320763172308,0.9862212339661651,0.9902370049663026,True,0
7,0.012271860905106386,0.9962924525464008,0.9876464442329094,0.99133009059673,0.01547966297948841,0.9943675915376211,0.9806822019366508,0.986794607339718,False,1
8,0.013836651207710321,0.9948560599223897,0.9826014197993208,0.9879622399580074,0.014325587218527891,0.9947102809760499,0.9819216767960057,0.9875982506356267,False,2
