epoch,learning_rate,train_loss,train_accuracy,train_macro_f1,train_weighted_f1,validation_loss,validation_accuracy,validation_macro_f1,validation_weighted_f1,validation_mcc,train_sample_count,validation_sample_count,train_elapsed_seconds,validation_elapsed_seconds,improved
1,0.001,0.3269520881880948,0.8961266281623199,0.6354850794472484,0.8758567996465799,0.21499268127875829,0.8967538230375172,0.8041608122623276,0.9162169427059991,0.8070048603995639,1595664,341417,10.301663099962752,1.2694356000283733,True
2,0.001,0.14929758051867154,0.9422121449127134,0.791344450436279,0.9385286991899708,0.2579370867960023,0.9530339731179174,0.7487092758912065,0.9374002373394469,0.8893328932390144,1595664,341417,10.375467899953946,1.3575530999805778,False
3,0.001,0.11486213214527626,0.9593592385364338,0.8007835490164529,0.9487090803693928,0.17601446805275053,0.9031799822504445,0.8184004934246372,0.9222188051313053,0.8230348021303822,1595664,341417,10.35659499996109,1.2991579999797978,True
4,0.001,0.15483197525109446,0.9549729767670386,0.8672597168459802,0.9576360051612207,0.04027346452894102,0.9903812639675236,0.9663683765808343,0.9899937252360964,0.9774567978395738,1595664,341417,10.298919999971986,1.2794924000045285,True
5,0.001,0.08026673917888223,0.9786032648477374,0.9326406208585426,0.9788004686961962,0.044739595242386236,0.9891218070570592,0.9615685170116284,0.9886236288038612,0.9744991994116687,1595664,341417,10.642053999996278,1.2248563999892212,False
6,0.001,0.09392170430799517,0.9742445778058538,0.9075173313013051,0.9725420645166537,0.028636518163896982,0.9926336415585633,0.9747873689364007,0.9924637543039097,0.9827153539670248,1595664,341417,10.939221499953419,1.3276292000082321,True
7,0.001,0.04476139420513352,0.9883402771510794,0.9600675033341738,0.9880496911399614,0.04104564137081685,0.9893531956522376,0.9672719078344835,0.9893196171407299,0.9751096331250573,1595664,341417,10.81091490003746,1.388531900011003,False
8,0.001,0.04333516833429015,0.9898036178042495,0.9660661923166902,0.9896563416953851,0.024089091832293505,0.9932282223790848,0.9767462995035308,0.9930992295786858,0.9841134691945512,1595664,341417,10.46246190002421,1.3613080000504851,True
9,0.001,0.029300436200568825,0.9917620501559226,0.9721533722370896,0.9915888003067523,0.023524191792686278,0.9939897544644819,0.9797453326451245,0.9938527700303912,0.9859166102493793,1595664,341417,10.40524530003313,1.3481381999445148,True
10,0.001,0.09495720034504426,0.9779608990363886,0.9164444763178867,0.9761529859384255,0.02246899775519367,0.9936089884217834,0.977980960539924,0.9934592320283225,0.9850201241143645,1595664,341417,10.5214611000265,1.2710774000152014,False
11,0.001,0.024792088572493872,0.9929602974059701,0.9760819187533505,0.992794765400819,0.02340344351603294,0.993925317134179,0.9791562163615586,0.9937678605253053,0.9857719547668673,1595664,341417,10.48858740000287,1.3038996999966912,False
12,0.001,0.019131748474662393,0.9935155521463165,0.9779957862833486,0.9933852519261228,0.01424726089509849,0.9940834814903768,0.9799005021625308,0.9939783169164318,0.9861271526318371,1595664,341417,10.885388399998192,1.3189701999654062,False
13,0.001,0.017934572007586014,0.9940131506382296,0.9795867251197662,0.9938876031834151,0.012529936525578437,0.9948391556366555,0.982462602705243,0.9947437280945054,0.9879054912777171,1595664,341417,10.533813500020187,1.3620664000045508,True
14,0.001,0.01349228028467773,0.9949243700428161,0.982961905056056,0.9948498404427032,0.02154634037490461,0.9942445748161339,0.9799268980826397,0.9941056144607746,0.9865160562098371,1595664,341417,10.79753390001133,1.325215200020466,False
15,0.001,0.028223294689300658,0.9876358682028297,0.9601249480312926,0.9877255694650291,0.07136904438397386,0.984271433466992,0.953195523090051,0.9849501122467582,0.9642681246363393,1595664,341417,11.126453200005926,1.3165797999827191,False
