metric,seed,naive_row,grouped_float32,naive_minus_grouped
test_accuracy,42,0.9997676059730933,0.9991948227005251,0.0005727832725682669
test_accuracy,123,0.9997817763405876,0.9992939359671661,0.0004878403734215331
test_accuracy,2026,0.9998252321342368,0.9990428490250086,0.0007823831092281797
test_accuracy,3407,0.9997628825172619,0.999161784944978,0.0006010975722838818
test_accuracy,8192,0.9997458780762687,0.9990286899869171,0.0007171880893516169
test_balanced_accuracy,42,0.9996944816643248,0.9991559434821112,0.0005385381822136104
test_balanced_accuracy,123,0.999650801755303,0.9992067438800826,0.00044405787522039386
test_balanced_accuracy,2026,0.9997555093930978,0.9990316607850517,0.0007238486080460849
test_balanced_accuracy,3407,0.999461704709841,0.9991833855604564,0.00027831914938458713
test_balanced_accuracy,8192,0.9995169313585778,0.9989949109808046,0.000522020377773158
test_macro_precision,42,0.9994219370700369,0.9974366147508166,0.0019853223192203284
test_macro_precision,123,0.9995235883244441,0.9977588688471508,0.0017647194772932862
test_macro_precision,2026,0.9995298531233848,0.9970976005603837,0.0024322525630011693
test_macro_precision,3407,0.9995524010775291,0.9975124684834057,0.0020399325941233837
test_macro_precision,8192,0.9994591440411541,0.9970554297380403,0.002403714303113813
test_macro_recall,42,0.9996944816643248,0.9991559434821112,0.0005385381822136104
test_macro_recall,123,0.999650801755303,0.9992067438800826,0.00044405787522039386
test_macro_recall,2026,0.9997555093930978,0.9990316607850517,0.0007238486080460849
test_macro_recall,3407,0.999461704709841,0.9991833855604564,0.00027831914938458713
test_macro_recall,8192,0.9995169313585778,0.9989949109808046,0.000522020377773158
test_macro_f1,42,0.9995581295581734,0.9982926611987937,0.0012654683593796845
test_macro_f1,123,0.9995871778879675,0.9984802442878649,0.0011069336001026109
test_macro_f1,2026,0.9996426252756172,0.9980599470569563,0.0015826782186608712
test_macro_f1,3407,0.9995070378070553,0.9983443569064914,0.0011626809005639283
test_macro_f1,8192,0.9994880334430011,0.9980204817988853,0.0014675516441158276
test_weighted_f1,42,0.9997676387093914,0.9991955725211334,0.0005720661882580025
test_weighted_f1,123,0.9997817924270367,0.999294508559631,0.00048728386740570784
test_weighted_f1,2026,0.9998252548071681,0.9990437386248054,0.0007815161823626626
test_weighted_f1,3407,0.999762874669884,0.9991624041201195,0.0006004705497645313
test_weighted_f1,8192,0.9997458895704989,0.9990296088826435,0.0007162806878554528
test_mcc,42,0.9995870060853759,0.9985695478200406,0.0010174582653352804
test_mcc,123,0.9996121739227042,0.9987454820965255,0.0008666918261787115
test_mcc,2026,0.9996894093228558,0.9982997231434351,0.0013896861794207016
test_mcc,3407,0.9995785804726792,0.99851089455968,0.0010676859129992167
test_mcc,8192,0.9995483666560745,0.9982745513637811,0.0012738152922934232
