arm,metric,sample_count,mean,standard_deviation,median,minimum,maximum,ci95_lower,ci95_upper
naive_row,test_accuracy,5,0.9997766750082897,3.001978223400631e-05,0.9997676059730933,0.9997458780762687,0.9998252321342368,0.9997394005254558,0.9998139494911236
naive_row,test_balanced_accuracy,5,0.999615885776229,0.00012293796363717927,0.999650801755303,0.999461704709841,0.9997555093930978,0.9994632381327682,0.9997685334196897
naive_row,test_macro_precision,5,0.9994973847273098,5.459469549218678e-05,0.9995235883244441,0.9994219370700369,0.9995524010775291,0.9994295964594242,0.9995651729951953
naive_row,test_macro_recall,5,0.999615885776229,0.00012293796363717927,0.999650801755303,0.999461704709841,0.9997555093930978,0.9994632381327682,0.9997685334196897
naive_row,test_macro_f1,5,0.9995566007943628,6.22404179990617e-05,0.9995581295581734,0.9994880334430011,0.9996426252756172,0.9994793191081002,0.9996338824806255
naive_row,test_weighted_f1,5,0.9997766900367958,3.002511832732059e-05,0.9997676387093914,0.9997458895704989,0.9998252548071681,0.999739408928327,0.9998139711452646
naive_row,test_mcc,5,0.9996031072919379,5.3356338106245945e-05,0.9995870060853759,0.9995483666560745,0.9996894093228558,0.9995368566478354,0.9996693579360404
naive_row,test_benign_precision,5,0.9988052690414639,0.00018405320580178048,0.9987793640726159,0.9985522159471618,0.9990534841368733,0.9985767368020659,0.9990338012808619
naive_row,test_benign_recall,5,0.9992095335050003,0.0003902110200046582,0.9993173243906821,0.9986825558416672,0.9995927899874244,0.9987250225297581,0.9996940444802425
naive_row,test_benign_f1,5,0.9990073034161474,0.00014804036670862527,0.9990363378443896,0.9988443459776654,0.9991859114798454,0.9988234870225244,0.9991911198097704
naive_row,test_benign_false_negative_rate,5,0.0007904664949996753,0.0003902110200046582,0.0006826756093178954,0.0004072100125755984,0.0013174441583327923,0.00030595551975752246,0.0012749774702418282
naive_row,test_gafgyt_precision,5,0.9997141784339891,7.682124231917911e-05,0.9997132373853831,0.9996310119204301,0.9998283903484851,0.9996187922631041,0.9998095646048741
naive_row,test_gafgyt_recall,5,0.9997705731909132,3.601997387802058e-05,0.9997719836016248,0.9997226192267188,0.9998189972920114,0.9997258484861327,0.9998152978956938
naive_row,test_gafgyt_f1,5,0.9997423731650767,3.5848355862698514e-05,0.9997308444080869,0.9997061782487283,0.9998001861794656,0.9996978615522072,0.9997868847779463
naive_row,test_gafgyt_false_negative_rate,5,0.000229426809086819,3.601997387802058e-05,0.00022801639837521925,0.00018100270798859786,0.0002773807732812106,0.0001847021043062408,0.0002741515138673972
naive_row,test_mirai_precision,5,0.9999727067064764,6.560559507982698e-06,0.9999727071752836,0.9999636091697615,0.9999818049490539,0.9999645606959273,0.9999808527170255
naive_row,test_mirai_recall,5,0.9998675506327732,2.5255697422555662e-05,0.9998635480420054,0.9998398963692863,0.9999017545902439,0.9998361915425341,0.9998989097230123
naive_row,test_mirai_f1,5,0.9999201258018644,1.4547871604339376e-05,0.9999135761026097,0.9999072064220433,0.9999417781675406,0.9999020622334428,0.999938189370286
naive_row,test_mirai_false_negative_rate,5,0.00013244936722678347,2.5255697422555662e-05,0.00013645195799460996,9.824540975611473e-05,0.00016010363071372602,0.0001010902769876685,0.00016380845746589843
grouped_float32,test_accuracy,5,0.999144416524919,0.00011057474485660489,0.999161784944978,0.9990286899869171,0.9992939359671661,0.99900711984512,0.999281713204718
