arm,seed,parameter_count,best_epoch,epochs_completed,best_validation_macro_f1,training_seconds,test_evaluation_attempt_count,test_used_for_selection,test_loss,test_sample_count,test_accuracy,test_balanced_accuracy,test_macro_precision,test_macro_recall,test_macro_f1,test_weighted_f1,test_mcc,test_benign_precision,test_benign_recall,test_benign_f1,test_benign_false_negative_rate,test_gafgyt_precision,test_gafgyt_recall,test_gafgyt_f1,test_gafgyt_false_negative_rate,test_mirai_precision,test_mirai_recall,test_mirai_f1,test_mirai_false_negative_rate
naive_row,42,9603,4,8,0.9994826822698747,940.7444521000143,1,False,0.0014275186629821943,1058547,0.9997676059730933,0.9996944816643248,0.9994219370700369,0.9996944816643248,0.9995581295581734,0.9997676387093914,0.9995870060853759,0.9985522159471618,0.9995209293969699,0.9990363378443896,0.0004790706030300962,0.9997390697248009,0.9997226192267188,0.9997308444080869,0.0002773807732812106,0.999974525538148,0.9998398963692863,0.9999072064220433,0.00016010363071372602
naive_row,123,9603,2,6,0.9994750691369338,474.80803499999456,1,False,0.0012515592571487766,1058547,0.9997817763405876,0.999650801755303,0.9995235883244441,0.999650801755303,0.9995871778879675,0.9997817924270367,0.9996121739227042,0.9988866408878141,0.9993173243906821,0.9991019362254979,0.0006826756093178954,0.9997132373853831,0.9997860877087408,0.9997496612199374,0.00021391229125922173,0.9999708867001348,0.9998489931664859,0.9999099362184674,0.00015100683351410016
naive_row,2026,9603,5,9,0.9996017100510666,723.0347415000433,1,False,0.00098102752701287,1058547,0.9998252321342368,0.9997555093930978,0.9995298531233848,0.9997555093930978,0.9996426252756172,0.9998252548071681,0.9996894093228558,0.9987793640726159,0.9995927899874244,0.9991859114798454,0.0004072100125755984,0.9998283903484851,0.9997719836016248,0.9998001861794656,0.00022801639837521925,0.9999818049490539,0.9999017545902439,0.9999417781675406,9.824540975611473e-05
naive_row,3407,9603,3,7,0.999442484238691,554.7318099999102,1,False,0.001350732433442302,1058547,0.9997628825172619,0.999461704709841,0.9995524010775291,0.999461704709841,0.9995070378070553,0.999762874669884,0.9995785804726792,0.9990534841368733,0.9986825558416672,0.9988679855533393,0.0013174441583327923,0.9996310119204301,0.9998189972920114,0.9997249957691656,0.00018100270798859786,0.9999727071752836,0.9998835609958446,0.999928132098661,0.00011643900415536645
naive_row,8192,9603,2,6,0.9994498021668216,11222.27404119994,1,False,0.0017463279121730567,1058547,0.9997458780762687,0.9995169313585778,0.9994591440411541,0.9995169313585778,0.9994880334430011,0.9997458895704989,0.9995483666560745,0.9987546401628548,0.998934067908258,0.9988443459776654,0.0010659320917419945,0.9996591827908463,0.9997531781254702,0.9997061782487283,0.0002468218745298456,0.9999636091697615,0.9998635480420054,0.9999135761026097,0.00013645195799460996
grouped_float32,42,9603,6,10,0.9985044159320443,827.2012358999345,1,False,0.006794406900002838,1059394,0.9991948227005251,0.9991559434821112,0.9974366147508166,0.9991559434821112,0.9982926611987937,0.9991955725211334,0.9985695478200406,0.9928394414526045,0.9992804978954564,0.9960495568451438,0.0007195021045436345,0.9996848371384153,0.9983581605761236,0.9990210584086147,0.0016418394238764122,0.99978556566143,0.9998291719747538,0.9998073683426226,0.00017082802524615026
grouped_float32,123,9603,11,15,0.9986810857767489,2860.7428758000024,1,False,0.007941499809755741,1059394,0.9992939359671661,0.9992067438800826,0.9977588688471508,0.9992067438800826,0.9984802442878649,0.999294508559631,0.9987454820965255,0.993750447248527,0.9991725725797748,0.9964541339536106,0.0008274274202252352,0.9997060677031895,0.9985930446138741,0.9991492461898216,0.0014069553861258965,0.9998200915897362,0.999854614446599,0.9998373527201622,0.0001453855534010451
grouped_float32,2026,9603,6,10,0.9982091376305317,2211.6976337999804,1,False,0.006782894110896122,1059394,0.9990428490250086,0.9990316607850517,0.9970976005603837,0.9990316607850517,0.9980599470569563,0.9990437386248054,0.9982997231434351,0.9919884767392029,0.9992804978954564,0.9956211356372651,0.0007195021045436345,0.9996659090802148,0.9980034856791202,0.9988340056607145,0.001996514320879772,0.9996384158617332,0.9998109987805787,0.9997246998728895,0.0001890012194213364
grouped_float32,3407,9603,8,12,0.9985286162188577,938.7514767999528,1,False,0.006810619365117086,1059394,0.999161784944978,0.9991833855604564,0.9975124684834057,0.9991833855604564,0.9983443569064914,0.9991624041201195,0.99851089455968,0.9931603970306114,0.9994963485268195,0.9963182997238724,0.0005036514731805442,0.9997694502800708,0.9981937417496982,0.998980974667759,0.0018062582503017843,0.9996075581395348,0.9998600664048515,0.999733796327843,0.00013993359514852255
grouped_float32,8192,9603,2,6,0.9980447309696037,473.9007169000106,1,False,0.005671351841782093,1059394,0.9990286899869171,0.9989949109808046,0.9970554297380403,0.9989949109808046,0.9980204817988853,0.9990296088826435,0.9982745513637811,0.9918814356288316,0.9991845642815171,0.9955196062032546,0.0008154357184828598,0.9996282764023743,0.9979964391579877,0.9988116912654018,0.002003560842012253,0.9996565771829153,0.9998037295029086,0.9997301479279995,0.00019627049709136646
