epoch,train_loss,train_accuracy,train_macro_f1,validation_loss,validation_accuracy,validation_macro_f1,improved,epochs_without_improvement,epoch_seconds
1,0.07421300994857889,0.9839782111035231,0.9746899411145171,0.006704303875376085,0.9985049101332674,0.9975406175160556,True,0,16.357623300049454
2,0.006299683380779664,0.9987348494045047,0.9979144429899335,0.003606931967314755,0.9992094308978069,0.9986841435326778,True,0,15.658031800063327
3,0.00375620570156851,0.9992428657645877,0.9987307226390344,0.002228510764192647,0.9995132890901464,0.9991792322158749,True,0,9.212940900004469
4,0.0027492758870630925,0.9994770250607979,0.9991037161427611,0.0018693416532728764,0.9995482462273182,0.9992361817563058,False,1,14.927526599960402
5,0.0023426235383539155,0.9995696531853431,0.9992623200890015,0.0017163760081530973,0.9996423615966269,0.9993669237126365,False,2,15.494915800052695
6,0.0020175860620340615,0.9996335148115824,0.9993673665940218,0.0015449418030234864,0.9997015198287638,0.9994782552480442,True,0,15.667139400029555
7,0.0018956381641744451,0.9996542266903626,0.999396542757044,0.0013778912442769598,0.9997310989448323,0.9995381471346457,False,1,15.325087600038387
8,0.0017308123413828898,0.9996864451684653,0.9994557040035814,0.0015008899925607194,0.9997310989448323,0.9995246774546281,False,2,15.442659699940123
9,0.001747032872873546,0.9996933491280586,0.9994718036894344,0.00136929528160648,0.9997472330081423,0.9995714860585996,False,3,15.57408079993911
10,0.0017309271672086577,0.9996812671987702,0.999454877288179,0.0014840176663274678,0.9996800077443504,0.9994779682010275,False,4,15.665978899924085
