epoch,train_loss,train_accuracy,train_macro_f1,train_mcc,validation_loss,validation_accuracy,validation_macro_f1,validation_mcc,improved,epochs_without_improvement
1,0.017177915318730516,0.994941917596687,0.9827884664139747,0.9881638980941986,0.0149725203063699,0.9953517253095189,0.9842468354609034,0.9891015136377546,True,0
2,0.014140069686921527,0.9953411244472521,0.9841631834324979,0.9890990662621071,0.012389523261607678,0.9957207754739805,0.9854377906379431,0.9899683149338084,True,0
3,0.01195719174417503,0.9955391611266532,0.9848871793542834,0.9895647306270997,0.011085363540331369,0.9959023715866521,0.9861133891803999,0.9903949796106558,True,0
4,0.010451770344096516,0.9965964012473804,0.9885920063149517,0.992040410720861,0.010870585843696825,0.995793999712961,0.9857600072602821,0.990141388041633,False,1
5,0.01057907819620483,0.996004798002587,0.9865738699364252,0.9906547813824597,0.0100283147603365,0.9960458910950538,0.9866354247928472,0.9907318563009038,True,0
6,0.009711890753078314,0.9965675731231638,0.9885106455404725,0.9919733538242822,0.009077208324367252,0.9969626585670895,0.9898942569713295,0.9928828962639107,True,0
7,0.00957880559684992,0.9964353397707788,0.9880813190827346,0.9916634599739776,0.00894041313748874,0.9972789872794852,0.9910273011542746,0.993626490814833,True,0
8,0.008698672722308117,0.9968959630598923,0.9896425265576706,0.9927422455340125,0.009045666737517548,0.9975806711440848,0.9920842359761305,0.9943381639166549,True,0
