epoch,train_loss,train_accuracy,train_macro_f1,validation_loss,validation_accuracy,validation_macro_f1,improved,epochs_without_improvement,epoch_seconds
1,0.07509391360390699,0.9856650785641835,0.9796998845742241,0.006841623353211518,0.9984807090383022,0.9975495762152385,True,0,16.515830000047572
2,0.006907760543996051,0.9986140301116198,0.9977370611043147,0.004341224125012772,0.999074980370223,0.9984471796862685,True,0,15.766426400048658
3,0.004277658621667976,0.9991882094178064,0.998639614017427,0.002881764935601555,0.9993519484570458,0.9988861137219338,True,0,15.550054399995133
4,0.0031094467285243494,0.9994028074951686,0.998988996765541,0.002379092132585369,0.9994702649213195,0.9990836503877004,False,1,15.538036399986595
5,0.0024497421676321885,0.9995454893267661,0.9992222753262096,0.0023428297154184994,0.999515978100698,0.9991713407198771,True,0,15.567143799969926
6,0.0021892579495872847,0.9996191315624293,0.9993421788318598,0.0015897812453045102,0.9996531176388336,0.9994184620235572,True,0,15.534119099960662
7,0.0020725654781381677,0.9996329394816162,0.9993706957876863,0.001669320131186615,0.9996611846704887,0.9993973770088808,False,1,15.646237300010398
8,0.0019458670129862093,0.9996363914614129,0.9993781095559285,0.0013046026050621093,0.9997284099342806,0.9995304987134964,False,2,16.453541999915615
9,0.001864094212674326,0.999665733289685,0.999423810872338,0.001394133927964227,0.9997203429026256,0.9995273049723572,False,3,16.399533599964343
10,0.0017370623171799684,0.9996979517677876,0.999480119667311,0.0013657721664531437,0.9997310989448323,0.9995420319329708,False,4,16.390784100047313
