run_id,status,locked_at,held_out_device,model_id,seed,completed_epoch,best_epoch,stopped_early,best_validation_macro_f1,validation_macro_f1,validation_selection_use,completed_iterations,test_fingerprint_macro_f1,test_fingerprint_accuracy,test_record_weighted_macro_f1,benign_fnr,gafgyt_fnr,mirai_fnr,local_severe_signal,model_artifact_type,result_file,lock_summary_file
early_lodo_04_compact_dnn_b0_seed2026,locked,2026-08-05T21:59:22.219272+00:00,Provision_PT_737E_Security_Camera,compact_dnn_b0,2026,15,12,False,0.9952385470066684,0.9952385470066684,True,,0.9629626797663531,0.9601416624166291,0.9645338577096468,0.0010150628070111837,0.09554186390952987,0.00433246943877434,False,torch,results\v2\early_lodo\runs\early_lodo_04_compact_dnn_b0_seed2026\run_result.json,results\v2\early_lodo\locks\early_lodo_04_compact_dnn_b0_seed2026\lock_summary.json
early_lodo_04_hist_gradient_boosting_b0_seed2026,locked,2026-08-05T22:01:38.124565+00:00,Provision_PT_737E_Security_Camera,hist_gradient_boosting_b0,2026,,,,,0.9999966424272578,False,100,0.9246779904980243,0.9207042023380984,0.9281901309077852,0.0,0.200668230924944,0.0011811655695970276,False,joblib,results\v2\early_lodo\runs\early_lodo_04_hist_gradient_boosting_b0_seed2026\run_result.json,results\v2\early_lodo\locks\early_lodo_04_hist_gradient_boosting_b0_seed2026\lock_summary.json
early_lodo_04_tinyml_mlp_b0_seed2026,locked,2026-08-05T21:56:03.507762+00:00,Provision_PT_737E_Security_Camera,tinyml_mlp_b0,2026,13,9,True,0.9949094809971201,0.9949094809971201,True,,0.9629826302186023,0.9689937066434277,0.9651092233188162,0.0006887926190433033,0.06293560540269123,0.011653402444898053,False,torch,results\v2\early_lodo\runs\early_lodo_04_tinyml_mlp_b0_seed2026\run_result.json,results\v2\early_lodo\locks\early_lodo_04_tinyml_mlp_b0_seed2026\lock_summary.json
early_lodo_05_compact_dnn_b0_seed2026,locked,2026-08-05T22:10:27.728427+00:00,Provision_PT_838_Security_Camera,compact_dnn_b0,2026,15,15,False,0.9980734137309993,0.9980734137309993,True,,0.9932380693493537,0.992367464105497,0.9933759805861958,0.0005851375073142189,0.020400390954130296,0.0003517050708417863,False,torch,results\v2\early_lodo\runs\early_lodo_05_compact_dnn_b0_seed2026\run_result.json,results\v2\early_lodo\locks\early_lodo_05_compact_dnn_b0_seed2026\lock_summary.json
early_lodo_05_hist_gradient_boosting_b0_seed2026,locked,2026-08-05T22:12:17.186855+00:00,Provision_PT_838_Security_Camera,hist_gradient_boosting_b0,2026,,,,,1.0,False,100,0.9628108012492839,0.9537596854795242,0.9637973458955579,0.0,0.12779818678170604,0.0,False,joblib,results\v2\early_lodo\runs\early_lodo_05_hist_gradient_boosting_b0_seed2026\run_result.json,results\v2\early_lodo\locks\early_lodo_05_hist_gradient_boosting_b0_seed2026\lock_summary.json
early_lodo_05_tinyml_mlp_b0_seed2026,locked,2026-08-05T22:06:35.035798+00:00,Provision_PT_838_Security_Camera,tinyml_mlp_b0,2026,15,13,False,0.9978674908591066,0.9978674908591066,True,,0.9922041821242035,0.9912504481477779,0.9923667354130181,0.0007553593276238097,0.023029220450945367,0.0006312057893915502,False,torch,results\v2\early_lodo\runs\early_lodo_05_tinyml_mlp_b0_seed2026\run_result.json,results\v2\early_lodo\locks\early_lodo_05_tinyml_mlp_b0_seed2026\lock_summary.json
early_lodo_06_compact_dnn_b0_seed2026,locked,2026-08-05T22:19:37.771915+00:00,Samsung_SNH_1011_N_Webcam,compact_dnn_b0,2026,15,11,True,0.9958782680782772,0.9958782680782772,True,,0.9939969510495716,0.9860393802453196,0.9942363332978564,0.000504449242317238,0.01611315358817852,,False,torch,results\v2\early_lodo\runs\early_lodo_06_compact_dnn_b0_seed2026\run_result.json,results\v2\early_lodo\locks\early_lodo_06_compact_dnn_b0_seed2026\lock_summary.json
early_lodo_06_hist_gradient_boosting_b0_seed2026,locked,2026-08-05T22:22:09.393899+00:00,Samsung_SNH_1011_N_Webcam,hist_gradient_boosting_b0,2026,,,,,1.0,False,100,0.9922067347450386,0.9772823401081899,0.9925397029207059,0.0,0.02635171993066696,,False,joblib,results\v2\early_lodo\runs\early_lodo_06_hist_gradient_boosting_b0_seed2026\run_result.json,results\v2\early_lodo\locks\early_lodo_06_hist_gradient_boosting_b0_seed2026\lock_summary.json
early_lodo_06_tinyml_mlp_b0_seed2026,locked,2026-08-05T22:16:01.113346+00:00,Samsung_SNH_1011_N_Webcam,tinyml_mlp_b0,2026,15,11,True,0.9961937394237399,0.9961937394237399,True,,0.9934942493254222,0.9881124641036486,0.9937781278687865,0.00034302548477572185,0.013734268533193032,,False,torch,results\v2\early_lodo\runs\early_lodo_06_tinyml_mlp_b0_seed2026\run_result.json,results\v2\early_lodo\locks\early_lodo_06_tinyml_mlp_b0_seed2026\lock_summary.json
early_lodo_07_compact_dnn_b0_seed2026,locked,2026-08-05T22:29:16.271585+00:00,SimpleHome_XCS7_1002_WHT_Security_Camera,compact_dnn_b0,2026,12,8,True,0.998750574631191,0.998750574631191,True,,0.9872262375976194,0.9901091674960185,0.9841525640192508,0.017787023186237847,0.016885727539817534,0.0052664598790448285,False,torch,results\v2\early_lodo\runs\early_lodo_07_compact_dnn_b0_seed2026\run_result.json,results\v2\early_lodo\locks\early_lodo_07_compact_dnn_b0_seed2026\lock_summary.json
early_lodo_07_hist_gradient_boosting_b0_seed2026,locked,2026-08-05T22:31:32.672486+00:00,SimpleHome_XCS7_1002_WHT_Security_Camera,hist_gradient_boosting_b0,2026,,,,,0.9999702840232064,False,100,0.9958891575760941,0.9955079234092087,0.9960389256865021,0.0002337322363500374,0.012800027489991924,0.00013638630837333997,False,joblib,results\v2\early_lodo\runs\early_lodo_07_hist_gradient_boosting_b0_seed2026\run_result.json,results\v2\early_lodo\locks\early_lodo_07_hist_gradient_boosting_b0_seed2026\lock_summary.json
early_lodo_07_tinyml_mlp_b0_seed2026,locked,2026-08-05T22:25:52.982161+00:00,SimpleHome_XCS7_1002_WHT_Security_Camera,tinyml_mlp_b0,2026,10,6,True,0.9984807616397835,0.9984807616397835,True,,0.9841023422799352,0.9882887254190146,0.9806511790196818,0.017716903515332835,0.01753861484803189,0.00790650913398591,False,torch,results\v2\early_lodo\runs\early_lodo_07_tinyml_mlp_b0_seed2026\run_result.json,results\v2\early_lodo\locks\early_lodo_07_tinyml_mlp_b0_seed2026\lock_summary.json
early_lodo_08_compact_dnn_b0_seed2026,locked,2026-08-05T22:39:18.335259+00:00,SimpleHome_XCS7_1003_WHT_Security_Camera,compact_dnn_b0,2026,12,9,True,0.9978842105625921,0.9978842105625921,True,,0.9924872991345705,0.9946468243244859,0.9927537842053645,0.0006132917038358609,0.009214904622277864,0.0032416579264266015,False,torch,results\v2\early_lodo\runs\early_lodo_08_compact_dnn_b0_seed2026\run_result.json,results\v2\early_lodo\locks\early_lodo_08_compact_dnn_b0_seed2026\lock_summary.json
early_lodo_08_hist_gradient_boosting_b0_seed2026,locked,2026-08-05T22:40:53.716391+00:00,SimpleHome_XCS7_1003_WHT_Security_Camera,hist_gradient_boosting_b0,2026,,,,,1.0,False,100,0.9745221579565461,0.9823944251404356,0.9758861041838826,0.0,0.048443316970315946,3.88455114011576e-05,False,joblib,results\v2\early_lodo\runs\early_lodo_08_hist_gradient_boosting_b0_seed2026\run_result.json,results\v2\early_lodo\locks\early_lodo_08_hist_gradient_boosting_b0_seed2026\lock_summary.json
early_lodo_08_tinyml_mlp_b0_seed2026,locked,2026-08-05T22:37:03.777282+00:00,SimpleHome_XCS7_1003_WHT_Security_Camera,tinyml_mlp_b0,2026,15,11,True,0.9984067875648025,0.9984067875648025,True,,0.9909815937837917,0.9933327434517162,0.9913178574797438,0.0006690454950936663,0.011774783382202747,0.003865128384415181,False,torch,results\v2\early_lodo\runs\early_lodo_08_tinyml_mlp_b0_seed2026\run_result.json,results\v2\early_lodo\locks\early_lodo_08_tinyml_mlp_b0_seed2026\lock_summary.json
