epoch,train_loss,train_accuracy,train_macro_f1,train_mcc,validation_loss,validation_accuracy,validation_macro_f1,validation_mcc,improved,epochs_without_improvement
1,0.5273151457798259,0.8978199671108704,0.7431473389296946,0.783810917199827,0.3526596602931472,0.994191853364068,0.980461830431855,0.9863788250607728,True,0
2,0.2710493034822219,0.9894539201235347,0.9635540798239565,0.9752608373637797,0.1871258623752975,0.9934713268525001,0.9778560878097081,0.9846958152958112,False,1
3,0.15715556179843596,0.9838330625996451,0.9401358950691426,0.96212265065667,0.09865820870227926,0.9935533380001582,0.978110247703715,0.9848887227857195,False,2
4,0.0825514330095487,0.9920139828936417,0.9734815343248976,0.9813052073419791,0.05107637069200317,0.9934508240655855,0.977727398386237,0.9846506525439022,False,3
