epoch,train_loss,train_accuracy,validation_macro_f1,validation_accuracy,validation_gafgyt_fnr,validation_mirai_fnr,improved,epochs_without_improvement,epoch_elapsed_seconds,validation_elapsed_seconds
1,0.08334209390585588,0.9864484358291471,0.9963803259377219,0.997807943582116,0.00592298075543618,0.0018212714751485448,True,0,19.809826000011526,1.214499399997294
2,0.0065546388299347995,0.9987208251362096,0.9964183364268479,0.9977998746627864,0.012337835345233916,0.0006992381556374383,False,1,19.773946600034833,1.2508585999021307
3,0.004122390066698056,0.9991483028288467,0.9980725567411008,0.9988515238154154,0.003217674666448067,0.0009797464855152427,True,0,19.70008120010607,1.1839376999996603
4,0.003261808185939601,0.9993464022473858,0.9986370730851423,0.9992226941045785,0.0029922324923656873,0.00042279516387377925,True,0,19.698002699995413,1.2065871000522748
5,0.002604019128500266,0.999457833170314,0.9988071546401883,0.99933834861497,0.0025208534011026407,0.0003577497540470098,False,1,20.658102400018834,1.1931171000469476
6,0.002138368627814248,0.99954059180898,0.9986222452056199,0.9992549697818971,0.003217674666448067,0.00023172427250772731,False,2,20.79844859999139,1.3115025999723002
7,0.0018411115779527027,0.9996331250900081,0.9989315444627015,0.9993867621309478,0.002049474309839483,0.00043499117821632627,True,0,21.025183200021274,1.3105910000158474
8,0.0016017041234170806,0.9996852565159395,0.9990833777045821,0.9994835891629034,0.0021314532822330756,0.0002927043442203514,False,1,17.232984900008887,1.214339999947697
9,0.0014244340349016194,0.9997269616566846,0.9993005399853536,0.9996126918721776,0.0022134322546266683,0.00010163345285429948,True,0,20.745815700036474,1.2286056999582797
10,0.0015485310660131673,0.9996859081587637,0.9987976981055922,0.9993195211365342,0.0021109585391346775,0.0004593832069013093,False,1,20.796303499955684,1.2275348000694066
11,0.001421210107462239,0.9996904696585327,0.9990811253842128,0.9995077959208923,0.0018445268788556124,0.00011789480531099183,False,2,19.592886099941097,1.1826640999643132
12,0.0013024055220036315,0.9997517240840019,0.9991573354554643,0.9995320026788812,0.002582337630397835,0.00019107089136605193,False,3,19.587483400013298,1.1942064000759274
13,0.001164020686343687,0.9997491175127055,0.9992138157470589,0.9995696576357529,0.0024798639149058443,7.31760860550601e-05,False,4,20.196301000076346,1.207321900059469
