epoch,learning_rate,train_loss,train_accuracy,train_macro_f1,train_weighted_f1,validation_loss,validation_accuracy,validation_macro_f1,validation_weighted_f1,validation_mcc,train_sample_count,validation_sample_count,train_elapsed_seconds,validation_elapsed_seconds,improved
1,0.003,1.139208598776373,0.7032978120707116,0.2784827662052248,0.596389566739436,0.7183509378466195,0.7206143806547418,0.2792677184513163,0.6036253003462108,0.007327521828864706,1595664,341417,23.706893099995796,2.6479540999862365,True
2,0.003,0.8762924365754744,0.7190172868473563,0.3308617500377767,0.635164924086719,0.7161253199259948,0.7248936051807614,0.2924238647275176,0.613527157130143,0.10634139752713268,1595664,341417,22.914273099973798,2.7706118000205606,True
3,0.003,0.6755732695600707,0.8023311925317611,0.48926448579880616,0.7649696152860894,0.5183084793553454,0.7814812970648796,0.5165624131400564,0.7712644941462072,0.5660731377745081,1595664,341417,23.195032600022387,2.6537835000199266,True
4,0.003,0.4684700236991263,0.8346776012995217,0.5370056258517375,0.8091911990650457,0.7945228828506161,0.7128408954445736,0.5881192598177413,0.7316277089506034,0.5456789603385621,1595664,341417,23.926281999971252,2.600927799998317,True
5,0.003,0.4553072252392971,0.8482562745039056,0.5614649878205817,0.826976161054146,0.21998244259584693,0.9298833977218475,0.6368164318377106,0.9043904142398131,0.8328039991481239,1595664,341417,23.521379599987995,2.569155699980911,True
6,0.003,0.24484084020793134,0.912552391982272,0.6496682139005391,0.891611881125265,0.31493737110328857,0.9129188060348489,0.7953397728581724,0.9201057979494227,0.8203266529548909,1595664,341417,22.885535300010815,2.666334600013215,True
7,0.003,0.18008636449238674,0.9421275406351212,0.7153109511995074,0.9249375888172542,0.09971189012115561,0.9592199568269887,0.8024633489412039,0.9493253082071466,0.9035729271367152,1595664,341417,23.65026880003279,2.5590125000453554,True
8,0.003,0.08819392917344593,0.9755825787885168,0.9192900069435859,0.9750816644892455,0.1546962493995757,0.9488748363438259,0.7206143100088006,0.9305852712252729,0.8788324855521563,1595664,341417,22.83375089999754,2.5994570000329986,False
9,0.003,0.12603728233329728,0.9581672582699114,0.8150430465003446,0.9502549406790197,0.08982240066112515,0.9680010075655284,0.8598032581497831,0.962597443418971,0.9245118416269354,1595664,341417,22.862910100026056,2.6864369999966584,True
10,0.003,0.15952777643514932,0.9512140400485315,0.8340623821310893,0.9480440429972934,0.10343612328039858,0.9618179528260162,0.8220296996303994,0.9535722067012833,0.9098583862230892,1595664,341417,23.156977900012862,2.5959085999638774,False
