run_id,held_out_device,model_id,seed,validation_macro_f1,test_fingerprint_macro_f1,test_fingerprint_accuracy,test_record_weighted_macro_f1,validation_test_macro_f1_drop,benign_fnr,gafgyt_fnr,mirai_fnr,local_severe_signal,test_fingerprint_count,test_class_counts,parameter_count,completed_epoch,best_epoch,stopped_early,completed_iterations,total_seconds,lock_summary_file,run_result_file,test_macro_f1_rank,runtime_rank
early_lodo_02_compact_dnn_b0_seed2026,Ennio_Doorbell,compact_dnn_b0,2026,0.9966195866524757,0.9932445684276212,0.9858298459239395,0.9934782548560437,0.0033750182248545313,0.0005648121999435188,0.015759146934750272,,False,338599,35410|303189|0,25283,15,12,True,,124.9276856998913,results\v2\early_lodo\locks\early_lodo_02_compact_dnn_b0_seed2026\lock_summary.json,results\v2\early_lodo\runs\early_lodo_02_compact_dnn_b0_seed2026\run_result.json,1,3
early_lodo_02_tinyml_mlp_b0_seed2026,Ennio_Doorbell,tinyml_mlp_b0,2026,0.9968873835709843,0.99244543529751,0.9823951045336814,0.9927041584095851,0.004441948273474328,0.0006495340299350466,0.01958514326047449,,False,338599,35410|303189|0,9603,15,14,False,,55.63220500003081,results\v2\early_lodo\locks\early_lodo_02_tinyml_mlp_b0_seed2026\lock_summary.json,results\v2\early_lodo\runs\early_lodo_02_tinyml_mlp_b0_seed2026\run_result.json,2,2
early_lodo_02_hist_gradient_boosting_b0_seed2026,Ennio_Doorbell,hist_gradient_boosting_b0,2026,0.9999567236163017,0.9033496516659376,0.713631759101474,0.8999015507662298,0.09660707195036411,0.0,0.3198137135582096,,False,338599,35410|303189|0,,,,,100,40.55447630002163,results\v2\early_lodo\locks\early_lodo_02_hist_gradient_boosting_b0_seed2026\lock_summary.json,results\v2\early_lodo\runs\early_lodo_02_hist_gradient_boosting_b0_seed2026\run_result.json,3,1
