epoch,train_loss,train_accuracy,train_macro_f1,validation_loss,validation_accuracy,validation_macro_f1,improved,epochs_without_improvement,epoch_seconds
1,0.0455283203081944,0.9851760480929825,0.9793012796084696,0.006411240689632092,0.9987012079035398,0.9978638640073493,True,0,2.7633958000224084
2,0.005314860569573693,0.9989816659599697,0.9982949346354187,0.00406550774345884,0.9991422056340149,0.9985381760695131,True,0,2.904382499982603
3,0.0035313611690658457,0.9992975221113689,0.9988099645674898,0.0028327041575429385,0.999333125383184,0.9988811388478958,True,0,3.3881376000354066
4,0.002742997530111373,0.9994488338924582,0.9990717291435233,0.0024694009109578036,0.9994756429424229,0.9991244944297862,True,0,2.005653899977915
5,0.002427998858465514,0.9995195994782908,0.9991872324688179,0.002167481512088311,0.9995348011745598,0.9992136128464569,False,1,2.1791965001029894
6,0.0022251481694571633,0.99958346110453,0.9992962657872103,0.0018055287229166537,0.9996235385227652,0.9993718181288901,True,0,2.2566282999468967
7,0.0019362571072797355,0.9996594046600576,0.9994121376303181,0.0018725381942185408,0.9995858923750417,0.9992959782389316,False,1,2.1760148000903428
8,0.001728369641777019,0.9996875958283975,0.9994607709967167,0.001516242779904169,0.9997337879553839,0.9995461274454417,False,2,2.112843199982308
9,0.0017713697394581107,0.9996910478081942,0.9994712307698372,0.0015748099239233755,0.9997122758709706,0.9995044309940977,False,3,2.1405578000703827
10,0.0015594044036649614,0.9997284442559919,0.9995328691560896,0.0012843983272109907,0.9997687450925558,0.9996039392200209,True,0,2.115268300054595
11,0.01314608553711709,0.9975606009436562,0.9962578370740865,0.022409005638475577,0.9935302406126642,0.9901114601175885,False,1,1.8663003001129255
12,0.009118737411126133,0.997695228155728,0.9964129542290799,0.0037460431394155808,0.9991260715707049,0.9986129427577416,False,2,1.7926178000634536
13,0.0031553432805814523,0.999298097441335,0.9988903199547696,0.0028750501513781657,0.999341192414839,0.9989532716416735,False,3,1.8847807999700308
14,0.0024580741035933056,0.9994499845523904,0.9991196018469212,0.002544853998247807,0.9994111066891826,0.9990560278022295,False,4,1.781620700028725
