epoch,train_loss,train_accuracy,validation_INT8_macro_f1,validation_INT8_accuracy,validation_INT8_gafgyt_fnr,validation_INT8_mirai_fnr,improved,epochs_without_improvement,epoch_elapsed_seconds,validation_elapsed_seconds
1,0.013009034045155096,0.9964133578959236,0.9973936750599824,0.9983646990158608,0.007050191625847968,0.0010041385142002257,True,0,6.901633100002073,0.5113665000535548
2,0.005024714463507959,0.9987286448500994,0.997132388395151,0.9982060102690447,0.0039144959317934935,0.0018781862087470236,False,1,6.93680280004628,0.5039960999274626
3,0.005488962636145954,0.998547488144988,0.9971830124985979,0.9982275273872571,0.004754780398827707,0.0016993113317234076,False,2,6.984503800049424,0.5089818999404088
4,0.0038946863622251423,0.9989677977665594,0.9980029827179283,0.9987493175039067,0.0037710327301047064,0.0011301639957395082,True,0,7.05103880004026,0.5110244000097737
5,0.0041652872358218665,0.9987794729903824,0.9980368263253866,0.9987789035414487,0.004201422335171068,0.000971615809286841,False,1,7.01495199999772,0.5090174999786541
6,0.003334921215851942,0.9991163723304637,0.9981811658273241,0.9988649720142981,0.0027258008320866223,0.0011545560244246023,False,2,6.996013300027698,0.513758199987933
7,0.003216486001211958,0.9990759704753669,0.998199779973762,0.998883799492734,0.0027462955751850204,0.0011179679813969612,False,3,6.995761699974537,0.5105749000795186
