run_id,held_out_device,model_id,seed,validation_macro_f1,test_fingerprint_macro_f1,test_fingerprint_accuracy,test_record_weighted_macro_f1,validation_test_macro_f1_drop,benign_fnr,gafgyt_fnr,mirai_fnr,local_severe_signal,test_fingerprint_count,test_class_counts,parameter_count,completed_epoch,best_epoch,stopped_early,completed_iterations,total_seconds,lock_summary_file,run_result_file,test_macro_f1_rank,runtime_rank
early_lodo_08_compact_dnn_b0_seed2026,SimpleHome_XCS7_1003_WHT_Security_Camera,compact_dnn_b0,2026,0.9978842105625921,0.9924872991345705,0.9946468243244859,0.9927537842053645,0.005396911428021678,0.0006132917038358609,0.009214904622277864,0.0032416579264266015,False,836326,17936|303530|514860,25283,12,9,True,,54.93266960000619,results\v2\early_lodo\locks\early_lodo_08_compact_dnn_b0_seed2026\lock_summary.json,results\v2\early_lodo\runs\early_lodo_08_compact_dnn_b0_seed2026\run_result.json,1,3
early_lodo_08_tinyml_mlp_b0_seed2026,SimpleHome_XCS7_1003_WHT_Security_Camera,tinyml_mlp_b0,2026,0.9984067875648025,0.9909815937837917,0.9933327434517162,0.9913178574797438,0.007425193781010808,0.0006690454950936663,0.011774783382202747,0.003865128384415181,False,836326,17936|303530|514860,9603,15,11,True,,30.497816899907775,results\v2\early_lodo\locks\early_lodo_08_tinyml_mlp_b0_seed2026\lock_summary.json,results\v2\early_lodo\runs\early_lodo_08_tinyml_mlp_b0_seed2026\run_result.json,2,1
early_lodo_08_hist_gradient_boosting_b0_seed2026,SimpleHome_XCS7_1003_WHT_Security_Camera,hist_gradient_boosting_b0,2026,1.0,0.9745221579565461,0.9823944251404356,0.9758861041838826,0.025477842043453935,0.0,0.048443316970315946,3.88455114011576e-05,False,836326,17936|303530|514860,,,,,100,37.492034399998374,results\v2\early_lodo\locks\early_lodo_08_hist_gradient_boosting_b0_seed2026\lock_summary.json,results\v2\early_lodo\runs\early_lodo_08_hist_gradient_boosting_b0_seed2026\run_result.json,3,2
