epoch,train_loss,train_accuracy,validation_macro_f1,validation_accuracy,validation_gafgyt_fnr,validation_mirai_fnr,improved,epochs_without_improvement,epoch_elapsed_seconds,validation_elapsed_seconds
1,0.06310455930624721,0.994636979557313,0.9980547914976879,0.9988488341756389,0.003463611583628845,0.0009187664138026186,True,0,7.964939899975434,0.920126200071536
2,0.00772261353979356,0.9990355686202701,0.9981516588689502,0.998913385530276,0.0032381694095464653,0.0008333943134050115,False,1,12.215388100012206,0.897072899970226
3,0.005152141743300115,0.9991483028288467,0.9982853194743462,0.9989860058042427,0.0034226220974320487,0.0007114341699798743,True,0,12.385195999988355,0.9464086999651045
4,0.004154001262305652,0.9992519140378852,0.9984491596975659,0.9990855224759748,0.0029922324923656873,0.0006585847744956519,False,1,12.068747999961488,1.0593506000004709
5,0.003618733005010916,0.9993209881772442,0.9985307721468969,0.9991420049112822,0.0028692640337752984,0.0005691473359838994,True,0,12.17327979998663,0.9711231999099255
6,0.0031495993135494975,0.9993835458883619,0.9986533372056904,0.9992119355454724,0.002541348144201039,0.0005528859835272071,False,1,12.260522699914873,0.9347183000063524
7,0.002862383781436199,0.9994441486710071,0.9986862230351967,0.9992253837443551,0.002438874428709048,0.0005894740265547371,False,2,11.57911970000714,0.8821201999671757
8,0.002584266138715789,0.9994923702399935,0.9988025454625334,0.999308762577428,0.002582337630397835,0.0004187298257596339,True,0,11.862679800018668,0.9819323999108747
