epoch,learning_rate,train_loss,train_accuracy,train_macro_f1,train_weighted_f1,validation_loss,validation_accuracy,validation_macro_f1,validation_weighted_f1,validation_mcc,train_sample_count,validation_sample_count,train_elapsed_seconds,validation_elapsed_seconds,improved
1,0.0003,0.5227217307285471,0.8539103470404797,0.5477992283472738,0.8215032580012412,0.16827987913831055,0.9405214151609322,0.6465361775586961,0.9140557073323037,0.8584569615121221,1595664,341417,8.793955200002529,0.9881562999798916,True
2,0.0003,0.20244249287070618,0.9420723911800981,0.6494027003979695,0.9155759445050916,0.11762192601778242,0.9449793068300641,0.6725168493852046,0.9210593504320962,0.8697211796865237,1595664,341417,8.658586300036404,0.9793573999777436,True
3,0.0003,0.1613092608194221,0.9454114400024065,0.6712242966104097,0.9211734442492205,0.11125543851576697,0.951947325411447,0.7357863514740837,0.9348469357690469,0.886657487373076,1595664,341417,8.569624700001441,0.9798918999731541,True
4,0.0003,0.08748119191125658,0.9673208144070431,0.8548983520725825,0.9612028325672364,0.18975810194457787,0.9093103155378907,0.8184092329771837,0.9255888443545104,0.8269800889383478,1595664,341417,8.521277399966493,0.968108500004746,True
5,0.0003,0.08204869379877994,0.9762800940548888,0.9194266522883866,0.9756774900793125,0.04793529597961734,0.9865355269362686,0.9516818668219947,0.9857487834256531,0.9684101927551383,1595664,341417,8.608783299976494,0.9835226999712177,True
6,0.0003,0.048835373770681735,0.9869728213458473,0.9552205234593258,0.9865583961242358,0.07353613282162597,0.972174789187416,0.9206374313057369,0.9736062242070139,0.9375504125681555,1595664,341417,8.551581799983978,0.9719338999711908,False
7,0.0003,0.040618491298101654,0.9895360176077169,0.9646810141547162,0.9893170701367888,0.026854971409396383,0.9930114786317026,0.9759478377987617,0.9928241569098006,0.9836177606642839,1595664,341417,8.585610600013752,0.9648634999757633,True
8,0.0003,0.02537200292087307,0.9928217970700599,0.9760672635854052,0.992705798992981,0.04241765939604258,0.9906683029843271,0.9670477907033779,0.990288997605169,0.9781351259503474,1595664,341417,8.517456800036598,0.9747298999573104,False
9,0.0003,0.06373163228646446,0.9808261639041803,0.9359733903621357,0.9806254210002948,0.0723530921131908,0.9763339259615075,0.9031409899527393,0.9733196778837009,0.9444828428318099,1595664,341417,8.571591900021303,0.9738496000063606,False
10,0.0003,0.033733014374875886,0.9907881609160826,0.9686964560425587,0.9905714277977745,0.029969754004317884,0.9928357404581494,0.9756405740946182,0.9927057653725752,0.9831844834860598,1595664,341417,8.616335699975025,0.9884468999807723,False
