epoch,train_loss,train_accuracy,train_macro_f1,validation_loss,validation_accuracy,validation_macro_f1,improved,epochs_without_improvement,epoch_seconds
1,0.04447898523637716,0.9871615118060586,0.9800072013715998,0.005965443985730263,0.9986608727452646,0.9978187023055557,True,0,4.968592399964109
2,0.004993001624068174,0.9989954738791565,0.9983290526370311,0.0036172747467964578,0.9991744737606351,0.9986188622133642,True,0,4.187624500016682
3,0.003193861477428137,0.999346425158489,0.9988882555561927,0.0027527463784471845,0.9994648869002162,0.9991051823270674,True,0,4.111870800028555
4,0.0024536597787544003,0.9995121201887313,0.999164363356913,0.0025821135634251286,0.999408417678631,0.9990184298300239,False,1,4.185728700016625
5,0.003914109756293858,0.9992077706366543,0.998660517316709,0.003656221475666377,0.9991287605812565,0.9985442267890953,False,2,4.164962699986063
6,0.002561412406963681,0.9994712717611368,0.9991137854319789,0.0020387721273801094,0.9995858923750417,0.99930934389984,True,0,4.149116599932313
7,0.0018978300812169202,0.9996260355220228,0.9993705839143674,0.0016775363235267409,0.9996235385227652,0.9993843968516409,False,1,4.193540800013579
8,0.0016620346395087697,0.9996921984681264,0.9994740412144575,0.0018273231657882476,0.9996181605016619,0.9993724186805397,False,2,4.228696599951945
9,0.0015708762853196333,0.9997198143065001,0.9995152609057465,0.0014772675921124155,0.9996988308182121,0.999473683634494,False,3,4.231126799946651
10,0.0015569930366597174,0.9997186636465679,0.9995053288690342,0.0018297597519160817,0.9996047154489034,0.9993276214239554,False,4,4.298693699995056
