epoch,train_loss,train_accuracy,validation_macro_f1,validation_accuracy,validation_gafgyt_fnr,validation_mirai_fnr,improved,epochs_without_improvement,epoch_elapsed_seconds,validation_elapsed_seconds
1,0.0008802092352859366,0.999839044222437,0.999361927250444,0.9996476571892726,0.002028979566741085,8.943743851175245e-05,True,0,6.299677400034852,0.42757619998883456
2,0.0008359180717340132,0.9998409991509094,0.9992837238727992,0.9996126918721776,0.0019060111081508069,6.911074794091476e-05,False,1,6.311130199930631,0.4198308000341058
3,0.0007565135613001912,0.9998540320073922,0.9993744138565397,0.9996557261086023,0.0020904637960362793,6.911074794091476e-05,False,2,6.343149499967694,0.42337409988977015
4,0.0007242095419184888,0.9998546836502163,0.9993796336852426,0.9996611053881553,0.002069969052937881,5.691473359836774e-05,False,3,6.3527080999920145,0.4152161000529304
