epoch,train_loss,train_accuracy,train_macro_f1,train_mcc,validation_loss_converted_int8,validation_accuracy_converted_int8,validation_macro_f1_converted_int8,validation_mcc_converted_int8,improved,epochs_without_improvement
1,0.014443156904912147,0.9955491883002938,0.9852697517574059,0.9895877621138407,0.011036197147089073,0.9966873354285228,0.9890455648712924,0.9922372807875839,True,0
2,0.010491722551851945,0.9967280079014128,0.9893118926102877,0.9923548381659689,0.008997813152679971,0.9970681014712214,0.9903107691013872,0.9931314912701273,True,0
3,0.010119990468703573,0.9968238927493508,0.9896136852363409,0.9925811401653611,0.00805806403236343,0.9978413494348554,0.9929617446125193,0.99495075516167,True,0
4,0.008811401261315459,0.9972406471537868,0.9909931498175567,0.9935632882569224,0.00826720547862637,0.9973815012140579,0.9913527041764079,0.993868958346473,False,1
5,0.008404138131076431,0.997368493617704,0.991325746905069,0.9938507964074836,0.007902802191454238,0.997542594539815,0.9920911587124434,0.9942730392397947,False,2
6,0.00933030716130904,0.9969423387379799,0.9900636158798782,0.9928777279125852,0.0066915235959603275,0.9980522352431191,0.9936470078014583,0.9954487959437207,True,0
7,0.00848905970943516,0.9968470805883946,0.9897803191987083,0.9926538334484163,0.006623408717056531,0.997970224095461,0.9934065214394247,0.995262739252344,False,1
8,0.007814040848189409,0.9973089572742131,0.9912085693035921,0.9937244123774631,0.006179394377124738,0.998078595969152,0.9937432451596302,0.9955156762239562,False,2
