global_macro_f1_rank,model_id,device_count,mean_test_macro_f1,median_test_macro_f1,sample_std_test_macro_f1,minimum_test_macro_f1,maximum_test_macro_f1,mean_test_accuracy,mean_record_weighted_macro_f1,mean_validation_test_macro_f1_drop,maximum_validation_test_macro_f1_drop,maximum_eligible_attack_fnr,mean_total_seconds,median_total_seconds,device_macro_f1_win_count,device_fastest_count,local_severe_cell_count,meaningful_validation_test_drop_count
1,compact_dnn_b0,9,0.9869322360394737,0.9924872991345705,0.010678321914349342,0.9629626797663531,0.9939969510495716,0.9855665155576045,0.9869954133089441,0.010400338869089495,0.03227586724031528,0.09554186390952987,75.03436777774348,74.44730800006073,5,0,0,0
2,tinyml_mlp_b0,9,0.986283143363278,0.9905334472979256,0.009602807152275138,0.9629826302186023,0.9934942493254222,0.9861063748756015,0.9863498541090097,0.011150132714553514,0.03192685077851776,0.06543131915117549,34.797377733319685,34.59764059993904,1,5,0,0
3,hist_gradient_boosting_b0,9,0.9674042478734339,0.9759641808326674,0.03245437118669287,0.9033496516659376,0.9958891575760941,0.9435911144336164,0.9678829406730031,0.032586911400447525,0.09660707195036411,0.3198137135582096,37.928522577767986,38.21104669990018,3,4,0,0
