"dataset_name","canonical_source","access_date","license_or_usage_terms","academic_use","commercial_use","redistribution","derivative_data_sharing","citation_required","required_citation","archive_sha256","evidence_file","notes"
"N-BaIoT","","","","","","","","","","","",""
"TON_IoT","","","","","","","","","","","",""
"Edge-IIoTset","","","","","","","","","","","",""
"CICIoT2023","","","","","","","","","","","",""
