epoch,train_loss,train_accuracy,validation_macro_f1,validation_accuracy,validation_gafgyt_fnr,validation_mirai_fnr,improved,epochs_without_improvement,epoch_elapsed_seconds,validation_elapsed_seconds
1,0.0008422621444197769,0.9998598967928095,0.999465152958317,0.9997014499848035,0.0016395794478716308,8.537210039760712e-05,True,0,3.204938600072637,0.4002786000492051
2,0.0007461844639931725,0.9998612000784578,0.9994498988573074,0.9996933810654739,0.001660074190970029,8.943743851175245e-05,False,1,3.2323643000563607,0.42411960009485483
3,0.0007074676635025306,0.9998755362205889,0.9994563622900774,0.999698760345027,0.0016805689340684271,8.130676228346179e-05,False,2,3.305333499913104,0.43346879992168397
4,0.0006595042180271878,0.9998846592201269,0.9994479334752814,0.999698760345027,0.0015780952185764363,6.504540982676943e-05,False,3,3.2662784999702126,0.4464771000202745
