arm,split,row_count,unique_float32_fingerprint_count,row_percentage
naive_row,train,4945116,1991767,70.01829069892898
naive_row,validation,1058943,667067,14.993658148281243
naive_row,test,1058547,667080,14.988051152789778
grouped_float32,train,4943823,1534583,69.99998300910457
grouped_float32,validation,1059389,371796,14.999973097748905
grouped_float32,test,1059394,371797,15.000043893146524
