architecture,variant,representation,run_count,seeds,mean_test_fingerprint_macro_f1,std_test_fingerprint_macro_f1,min_test_fingerprint_macro_f1,max_test_fingerprint_macro_f1,mean_test_fingerprint_accuracy,mean_test_raw_weighted_macro_f1,mean_test_gafgyt_fnr,mean_test_mirai_fnr,float_parameter_count,float_linear_macs_per_sample,mean_state_size_ratio_vs_float,test_evaluation_count_per_run,fragility_triggered_in_any_run
tinyml_mlp,B0,float32,5,"[42,123,2026,3407,8192]",0.9992485859275358,7.03988518529849e-05,0.9991468801117707,0.9993674466185191,0.9995798771369244,0.9980857659484768,0.0021601459225708552,0.00013253002252195946,9603,9504,1.0,1,False
tinyml_mlp,FP32-FT,float32,5,"[42,123,2026,3407,8192]",0.9993869819740098,3.4968645322849514e-05,0.9993424665082218,0.9994444073042175,0.9996605665472463,0.9983273614759355,0.0018732195191933476,0.00010569879096844481,9603,9504,1.0,1,False
tinyml_mlp,P25-noFT,float32,5,"[42,123,2026,3407,8192]",0.9569461644366667,0.044038458309919655,0.8890132410593958,0.9989448667867439,0.9663659641308673,0.9736578643286569,0.018449367737175426,0.046531046987177936,6819,6744,1.0,1,False
tinyml_mlp,P25-FP32-FT,float32,5,"[42,123,2026,3407,8192]",0.9992690763931465,9.594321658620924e-05,0.999124216570524,0.9993905048097456,0.9995944012307826,0.9981093262902749,0.002049474309839527,0.0001463521721101646,6819,6744,1.0,1,False
tinyml_mlp,P50-noFT,float32,5,"[42,123,2026,3407,8192]",0.7824954690714307,0.10602417208368228,0.6560429259769186,0.9052896347896766,0.7835678705526686,0.8234172420647475,0.0021437501280921365,0.28477368262718405,4291,4240,1.0,1,True
tinyml_mlp,P50-FP32-FT,float32,5,"[42,123,2026,3407,8192]",0.9989536146407785,0.00016067119478705008,0.9987456314068774,0.9992350655004856,0.999414732810466,0.997539435245098,0.002598733424876509,0.00026668618028959925,4291,4240,1.0,1,False
tinyml_mlp,DQ,dynamic_int8,5,"[42,123,2026,3407,8192]",0.8405492966450112,0.011567465560238441,0.8306201277207298,0.8602286269760326,0.907742955814479,0.8047757936188316,0.5168282335580923,0.0006114268523713217,9603,9504,0.35749156000291454,1,True
tinyml_mlp,QAT,static_int8,5,"[42,123,2026,3407,8192]",0.9982103802573974,0.0003876923018597152,0.9977151375596214,0.9988494120065642,0.9989053136666344,0.9970950606241722,0.004287500256184296,0.0007463960777617685,9603,9504,0.4470648240351687,1,False
tinyml_mlp,P25-QAT,static_int8,5,"[42,123,2026,3407,8192]",0.9980622942844194,0.00024594799585758454,0.9976165757765143,0.998335351575974,0.9988149415270741,0.9966948606225075,0.005304039513864711,0.0006878552089177425,6819,6744,0.505199162818511,1,False
tinyml_mlp,P50-QAT,static_int8,5,"[42,123,2026,3407,8192]",0.9978555453698199,0.0004956603432279483,0.9970080708948338,0.998321844873542,0.998677769529527,0.9965766930824035,0.005049904699444596,0.0009317754957679947,4291,4240,0.612245922208281,1,False
tinyml_mlp,PTQ,static_int8,5,"[42,123,2026,3407,8192]",0.9938503114007465,0.006775609061374789,0.9803717233673384,0.9983673355552791,0.9961807012447685,0.9899852269090379,0.026618572336195755,0.00033498386060766273,9603,9504,0.4470648240351687,1,False
compact_dnn,B0,float32,5,"[42,123,2026,3407,8192]",0.9992438134447982,8.376242610717102e-05,0.9991193242420112,0.9993334614195072,0.9995734219840987,0.9979943971621758,0.0022175312032463477,0.00016586579505815103,25283,25056,1.0,1,False
compact_dnn,FP32-FT,float32,5,"[42,123,2026,3407,8192]",0.999259629566686,9.891450273405765e-05,0.9991407487326659,0.9993736887110457,0.9995911736543697,0.9980194688122846,0.0021683438198102146,0.00013984763112750986,25283,25056,1.0,1,False
compact_dnn,P25-noFT,float32,5,"[42,123,2026,3407,8192]",0.9988139070020772,0.000270457834175565,0.9984160110085498,0.9991157795614173,0.999341036482372,0.9981630797020726,0.0016190847047732326,0.0003707588360124081,17043,16872,1.0,1,False
