architecture,architecture_display,variant,representation,run_count,mean_test_fingerprint_macro_f1,std_test_fingerprint_macro_f1,mean_test_raw_weighted_macro_f1,mean_state_size_ratio_vs_float,fragility_triggered_in_any_run,mean_serialized_state_dict_bytes,mean_state_size_kib,mean_peak_inference_RSS_delta_bytes,mean_batch_1_median_ms,mean_batch_32_samples_per_second
compact_dnn,Compact-DNN,B0,float32,5,0.9992438134447982,8.376242610717102e-05,0.9979943971621758,1.0,False,104397.0,101.9501953125,2180710.4,0.039299999999999995,547202.1636133095
compact_dnn,Compact-DNN,DQ,dynamic_int8,5,0.9054053054146456,0.015913044353348425,0.8816478960369803,0.30701073785645183,False,32051.0,31.2998046875,7186022.4,0.16024,129247.62388063656
compact_dnn,Compact-DNN,FP32-FT,float32,5,0.999259629566686,9.891450273405765e-05,0.9980194688122846,1.0,False,104397.0,101.9501953125,2146304.0,0.04038,534397.3785229261
compact_dnn,Compact-DNN,P25-FP32-FT,float32,5,0.9991604849327598,6.135600013398436e-05,0.9978222894789802,1.0,False,71501.0,69.8251953125,1359872.0,0.0407,588555.9458143262
compact_dnn,Compact-DNN,P25-QAT,static_int8,5,0.9982271247954844,8.861105831029475e-05,0.9970109404936525,0.40577054866365503,False,29013.0,28.3330078125,6166937.6,0.13628,131572.78763373004
compact_dnn,Compact-DNN,P25-noFT,float32,5,0.9988139070020772,0.000270457834175565,0.9981630797020726,1.0,False,71501.0,69.8251953125,1384448.0,0.04132,581034.4864529131
compact_dnn,Compact-DNN,P50-FP32-FT,float32,5,0.998786993887449,0.00012379076056917145,0.9974174604577698,1.0,False,43597.0,42.5751953125,1372979.2,0.03866000000000001,680229.5377788424
compact_dnn,Compact-DNN,P50-QAT,static_int8,5,0.9976074501406412,0.0002895179318035198,0.9961596111751702,0.4805147143152052,False,20949.0,20.4580078125,5808947.2,0.14221,130032.86360280805
compact_dnn,Compact-DNN,P50-noFT,float32,5,0.9182295452182796,0.12280349164359775,0.9461712357064658,1.0,True,43597.0,42.5751953125,1354137.6,0.04007,656150.7296020035
compact_dnn,Compact-DNN,PTQ,static_int8,5,0.9953797075666587,0.0034467434718497246,0.9922901894667845,0.3668017280190044,False,38293.0,37.3955078125,6359449.6,0.13831000000000002,127916.53885021154
compact_dnn,Compact-DNN,QAT,static_int8,5,0.9980903197215032,0.0005097027294194836,0.9971471045335791,0.3668017280190044,False,38293.0,37.3955078125,6545408.0,0.13618999999999998,124785.87654495964
tinyml_mlp,TinyML-MLP,B0,float32,5,0.9992485859275358,7.03988518529849e-05,0.9980857659484768,1.0,False,41173.0,40.2080078125,2111897.6,0.02838,901145.111378992
tinyml_mlp,TinyML-MLP,DQ,dynamic_int8,5,0.8405492966450112,0.011567465560238441,0.8047757936188316,0.35749156000291454,True,14719.0,14.3740234375,6043238.4,0.11377999999999999,184982.40524081374
tinyml_mlp,TinyML-MLP,FP32-FT,float32,5,0.9993869819740098,3.4968645322849514e-05,0.9983273614759355,1.0,False,41173.0,40.2080078125,2079129.6,0.0267,943871.4823726129
tinyml_mlp,TinyML-MLP,P25-FP32-FT,float32,5,0.9992690763931465,9.594321658620924e-05,0.9981093262902749,1.0,False,30101.0,29.3955078125,1414758.4,0.02706,1017574.6801011197
tinyml_mlp,TinyML-MLP,P25-QAT,static_int8,5,0.9980622942844194,0.00024594799585758454,0.9966948606225075,0.505199162818511,False,15207.0,14.8505859375,5176524.8,0.10096000000000001,169674.26636355594
tinyml_mlp,TinyML-MLP,P25-noFT,float32,5,0.9569461644366667,0.044038458309919655,0.9736578643286569,1.0,False,30101.0,29.3955078125,1385267.2,0.02631,1087208.0098179034
tinyml_mlp,TinyML-MLP,P50-FP32-FT,float32,5,0.9989536146407785,0.00016067119478705008,0.997539435245098,1.0,False,19925.0,19.4580078125,1328742.4,0.02541,1186343.7549770407
tinyml_mlp,TinyML-MLP,P50-QAT,static_int8,5,0.9978555453698199,0.0004956603432279483,0.9965766930824035,0.612245922208281,False,12199.0,11.9130859375,5140480.0,0.10766,168078.67334476035
tinyml_mlp,TinyML-MLP,P50-noFT,float32,5,0.7824954690714307,0.10602417208368228,0.8234172420647475,1.0,True,19925.0,19.4580078125,1400832.0,0.02722,1193413.86087045
tinyml_mlp,TinyML-MLP,PTQ,static_int8,5,0.9938503114007465,0.006775609061374789,0.9899852269090379,0.4470648240351687,False,18407.0,17.9755859375,5328076.8,0.10937,167364.55012861296
tinyml_mlp,TinyML-MLP,QAT,static_int8,5,0.9982103802573974,0.0003876923018597152,0.9970950606241722,0.4470648240351687,False,18407.0,17.9755859375,5321523.2,0.10343,171992.6788425923
