endpoint_class,architecture,metric,reference_variant,candidate_variant,mean_raw_delta_candidate_minus_B0,mean_improvement_delta,paired_rank_biserial_improvement,exact_two_sided_p_raw,Holm_adjusted_p,Holm_reject_alpha_0_05,all_checks_passed
confirmatory,tinyml_mlp,serialized_state_dict_bytes,B0,P25-QAT,-25966.0,25966.0,1.0,0.0625,0.625,False,True
confirmatory,tinyml_mlp,serialized_state_dict_bytes,B0,P50-QAT,-28974.0,28974.0,1.0,0.0625,0.625,False,True
confirmatory,tinyml_mlp,serialized_state_dict_bytes,B0,PTQ,-22766.0,22766.0,1.0,0.0625,0.625,False,True
exploratory,tinyml_mlp,test_raw_weighted_macro_f1,B0,FP32-FT,0.0002415955274587489,0.0002415955274587489,1.0,0.0625,0.625,False,True
exploratory,tinyml_mlp,test_raw_weighted_macro_f1,B0,P25-noFT,-0.02442790161981987,-0.02442790161981987,-1.0,0.0625,0.625,False,True
exploratory,tinyml_mlp,test_raw_weighted_macro_f1,B0,P25-FP32-FT,2.3560341798312125e-05,2.3560341798312125e-05,0.2,0.75,0.75,False,True
exploratory,tinyml_mlp,test_raw_weighted_macro_f1,B0,P50-noFT,-0.1746685238837291,-0.1746685238837291,-1.0,0.0625,0.625,False,True
exploratory,tinyml_mlp,test_raw_weighted_macro_f1,B0,P50-FP32-FT,-0.0005463307033787501,-0.0005463307033787501,-1.0,0.0625,0.625,False,True
exploratory,tinyml_mlp,test_raw_weighted_macro_f1,B0,DQ,-0.19330997232964525,-0.19330997232964525,-1.0,0.0625,0.625,False,True
exploratory,tinyml_mlp,test_raw_weighted_macro_f1,B0,QAT,-0.0009907053243046304,-0.0009907053243046304,-1.0,0.0625,0.625,False,True
exploratory,tinyml_mlp,test_raw_weighted_macro_f1,B0,P25-QAT,-0.001390905325969305,-0.001390905325969305,-1.0,0.0625,0.625,False,True
exploratory,tinyml_mlp,test_raw_weighted_macro_f1,B0,P50-QAT,-0.0015090728660733133,-0.0015090728660733133,-1.0,0.0625,0.625,False,True
exploratory,tinyml_mlp,test_raw_weighted_macro_f1,B0,PTQ,-0.008100539039438793,-0.008100539039438793,-1.0,0.0625,0.625,False,True
exploratory,tinyml_mlp,batch_1_p95_ms,B0,FP32-FT,-0.012318,0.012318,0.7333333333333333,0.1875,0.75,False,True
exploratory,tinyml_mlp,batch_1_p95_ms,B0,P25-noFT,-0.017087999999999992,0.017087999999999992,1.0,0.0625,0.625,False,True
exploratory,tinyml_mlp,batch_1_p95_ms,B0,P25-FP32-FT,-0.0017770000000000002,0.0017770000000000002,0.06666666666666667,0.9375,1.0,False,True
exploratory,tinyml_mlp,batch_1_p95_ms,B0,P50-noFT,-0.007841000000000018,0.007841000000000018,0.3333333333333333,0.4375,1.0,False,True
exploratory,tinyml_mlp,batch_1_p95_ms,B0,P50-FP32-FT,-0.008759999999999999,0.008759999999999999,0.4666666666666667,0.5,1.0,False,True
exploratory,tinyml_mlp,batch_1_p95_ms,B0,DQ,0.1149119999999999,-0.1149119999999999,-1.0,0.0625,0.625,False,True
exploratory,tinyml_mlp,batch_1_p95_ms,B0,QAT,0.10848799999999999,-0.10848799999999999,-1.0,0.0625,0.625,False,True
