run_id,architecture,variant,seed,best_epoch,epochs_completed,best_validation_macro_f1,test_fingerprint_macro_f1,test_fingerprint_accuracy,test_raw_weighted_macro_f1,test_gafgyt_fnr,test_mirai_fnr,parameter_count,linear_macs_per_sample,raw_tensor_bytes,serialized_checkpoint_bytes,training_elapsed_seconds,test_evaluation_count,fragility_gate_triggered,output_directory,metrics_sha256,run_manifest_sha256
compact_dnn__b0__seed_42,compact_dnn,B0,42,7,11,0.9991872042712632,0.9991788167632977,0.9995239324791014,0.9978999811020216,0.0022749164839218627,0.00023578961062187265,25283,25056,101132,313779,103.3845263000112,1,False,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\compact_dnn\b0\seed_42,6c20ee09b417a39088ff6c67507928bb718cf223b8a1efa02ae9af966fb40186,16eb99464cfede47708a956f5010d259011ba990551dca2fb437d76996179247
compact_dnn__b0__seed_123,compact_dnn,B0,123,6,10,0.9991494630691807,0.9991193242420112,0.9994997256560049,0.9978829517551381,0.0022749164839218627,0.0002601816393069667,25283,25056,101132,313779,196.9485712000169,1,False,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\compact_dnn\b0\seed_123,5d299a852fdccec2efd51c4c8d10ebb90cbb0d6dd769cb695cdc5ee883faf5ce,5792c3c54981e74f32da7c2b59aa45a825a4cefa8ff40eab9ecf321335aeb58a
compact_dnn__b0__seed_2026,compact_dnn,B0,2026,10,14,0.999313451965436,0.9993279232350282,0.999626139065509,0.9981271812773147,0.0020904637960362793,0.00013009081965342784,25283,25056,101132,313779,289.7828038999578,1,False,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\compact_dnn\b0\seed_2026,1c5a19e21489523d4e8e20bd16772e6da8e2ce6c8ca4ce83dc91608220e5ea84,8aed32e4de9cb8ead08db49e01cc1253fcf355112b1f46b15ec50ab57d337014
compact_dnn__b0__seed_3407,compact_dnn,B0,3407,9,13,0.9993005399853536,0.9992595415641462,0.9995831047133374,0.9979208789428778,0.0023364007132170572,9.350277662589779e-05,25283,25056,101132,313779,259.61668880004436,1,False,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\compact_dnn\b0\seed_3407,d172716ae355e8d048bdba6dc3ef727e0ea0760e637ccd2691151bd4b3d54c5d,49c2f80628a166302f82cf351920a9da0d93655d469ec846a1435c2c8f4f191e
compact_dnn__b0__seed_8192,compact_dnn,B0,8192,11,15,0.9994249295580033,0.9993334614195072,0.9996342080065412,0.9981409927335266,0.0021109585391346775,0.00010976412908259015,25283,25056,101132,313779,486.54861170006916,1,False,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\compact_dnn\b0\seed_8192,fef5c6cfe8933ab59be4c7c78a1f4a8d15245151105158d4cf144860476caa04,be340812c8726ef41772bbd8b6f62938cb4a89dd342b6525ee14eedd29930a3b
