descriptive_macro_f1_rank,model_id,display_name,run_count,seed_policy,input_space,mean_test_fingerprint_macro_f1,std_test_fingerprint_macro_f1,min_test_fingerprint_macro_f1,max_test_fingerprint_macro_f1,mean_test_fingerprint_accuracy,mean_test_raw_weighted_macro_f1,mean_test_gafgyt_fnr,mean_test_mirai_fnr,fragility_triggered_in_any_run,scientific_status,important_caveat,ranking_is_not_model_selection
1,hist_gradient_boosting_b0,HistGradientBoosting,1,single_seed_2026,canonical_float32_unscaled,0.9997380683535377,0.0,0.9997380683535377,0.9997380683535377,0.9998708969434852,0.9990430947883375,0.0009632529256246025,0.0,False,completed,Single locked seed; descriptive comparison only.,True
2,decision_tree_b0,Decision Tree,5,five_locked_seeds,canonical_float32_unscaled,0.9995826379853678,2.716135057175398e-05,0.9995400059321019,0.9996203656208831,0.9997756834393055,0.9990069932078688,0.000946857131145884,7.886755941490797e-05,False,completed,,True
3,random_forest_b0,Random Forest,5,five_locked_seeds,canonical_float32_unscaled,0.9994598191789837,1.3992878214494676e-05,0.9994398808394046,0.9994767615918181,0.9997186629226782,0.9981710693137925,0.0017092615744061846,8.455903277473364e-05,False,completed,,True
4,logistic_regression_b0,Logistic Regression,1,single_seed_2026,train_only_standardized_float32,0.9969917304947536,0.0,0.9969917304947536,0.9969917304947536,0.9981306953275452,0.9965715089779147,0.0032791588957432616,0.0019472969566879383,False,completed_with_convergence_warning,Locked max_iter=200 was reached; results retained without protocol modification.,True
