architecture,variant,run_count,seeds,float_parameter_count,float_linear_macs_per_sample,mean_validation_fingerprint_macro_f1,mean_test_fingerprint_accuracy,mean_test_fingerprint_macro_f1,std_test_fingerprint_macro_f1,min_test_fingerprint_macro_f1,max_test_fingerprint_macro_f1,mean_test_raw_weighted_macro_f1,mean_test_gafgyt_fnr,mean_test_mirai_fnr,mean_DQ_to_float_state_size_ratio,mean_validation_inference_seconds,mean_test_inference_seconds,test_evaluation_count_per_run,fragility_triggered_in_any_run
tinyml_mlp,DQ,5,"[42,123,2026,3407,8192]",9603,9504,0.7592422004880801,0.907742955814479,0.8405492966450112,0.011567465560238441,0.8306201277207298,0.8602286269760326,0.8047757936188316,0.5168282335580923,0.0006114268523713217,0.35749156000291454,0.3675377800129354,0.3706078799907118,1,True
compact_dnn,DQ,5,"[42,123,2026,3407,8192]",25283,25056,0.8862400960754346,0.9400128027197712,0.9054053054146456,0.015913044353348425,0.8846472958800714,0.9258648629482226,0.8816478960369803,0.3233537597606214,0.0011797611207324144,0.30701073785645183,0.38497564001008866,0.3875502999871969,1,False
