endpoint_class,architecture,metric,friedman_statistic,kendalls_W,monte_carlo_p_plus_one,monte_carlo_exceedances,scipy_asymptotic_p,all_checks_passed
confirmatory,tinyml_mlp,test_fingerprint_macro_f1,46.327272727272714,0.9265454545454542,9.99990000099999e-06,0,1.2511044185047553e-06,True
confirmatory,tinyml_mlp,batch_1_median_ms,39.599999999999994,0.7919999999999999,9.99990000099999e-06,0,1.992480755946178e-05,True
confirmatory,tinyml_mlp,batch_32_samples_per_second,45.74545454545452,0.9149090909090904,9.99990000099999e-06,0,1.5948159334011e-06,True
confirmatory,tinyml_mlp,serialized_state_dict_bytes,49.09090909090909,0.9818181818181819,9.99990000099999e-06,0,2.669083424904495e-07,True
exploratory,tinyml_mlp,test_raw_weighted_macro_f1,45.5272727272727,0.9105454545454541,9.99990000099999e-06,0,1.7465334820948195e-06,True
exploratory,tinyml_mlp,batch_1_p95_ms,39.636363636363626,0.7927272727272725,9.99990000099999e-06,0,1.9633796747363713e-05,True
exploratory,tinyml_mlp,batch_32_p95_ms,43.78181818181818,0.8756363636363637,9.99990000099999e-06,0,3.6023415668281577e-06,True
exploratory,tinyml_mlp,peak_inference_RSS_delta_bytes,46.48181818181817,0.9296363636363634,9.99990000099999e-06,0,1.132086763703736e-06,True
confirmatory,compact_dnn,test_fingerprint_macro_f1,47.49090909090907,0.9498181818181815,9.99990000099999e-06,0,7.686394584973966e-07,True
confirmatory,compact_dnn,batch_1_median_ms,40.836363636363615,0.8167272727272723,9.99990000099999e-06,0,1.2062189703381937e-05,True
confirmatory,compact_dnn,batch_32_samples_per_second,45.45454545454544,0.9090909090909087,9.99990000099999e-06,0,1.8002150528153845e-06,True
confirmatory,compact_dnn,serialized_state_dict_bytes,49.09090909090909,0.9818181818181819,9.99990000099999e-06,0,2.669083424904495e-07,True
exploratory,compact_dnn,test_raw_weighted_macro_f1,47.78181818181818,0.9556363636363636,9.99990000099999e-06,0,6.802688448394434e-07,True
exploratory,compact_dnn,batch_1_p95_ms,43.23636363636362,0.8647272727272725,9.99990000099999e-06,0,4.511674802442395e-06,True
exploratory,compact_dnn,batch_32_p95_ms,42.54545454545453,0.8509090909090906,9.99990000099999e-06,0,5.995174279043489e-06,True
exploratory,compact_dnn,peak_inference_RSS_delta_bytes,46.136363636363626,0.9227272727272725,9.99990000099999e-06,0,1.3313771416495869e-06,True
