architecture,variant,seed,B0_test_fingerprint_macro_f1,variant_test_fingerprint_macro_f1,delta_macro_f1_vs_B0,B0_test_raw_weighted_macro_f1,variant_test_raw_weighted_macro_f1,delta_raw_weighted_macro_f1_vs_B0,parameter_ratio_vs_B0,MAC_ratio_vs_B0,state_size_ratio_vs_float,fragility_gate_triggered
tinyml_mlp,FP32-FT,42,0.9992353322088411,0.9993424665082218,0.00010713429938069563,0.9979651127041994,0.9983019010746847,0.0003367883704853414,1.0,1.0,1.0,False
tinyml_mlp,FP32-FT,123,0.9993674466185191,0.9994444073042175,7.696068569840175e-05,0.9984116161853219,0.998436817821267,2.5201635945104606e-05,1.0,1.0,1.0,False
tinyml_mlp,FP32-FT,2026,0.9992545342200568,0.9993836172531619,0.00012908303310510405,0.9980267703090027,0.9983723885863697,0.00034561827736701023,1.0,1.0,1.0,False
tinyml_mlp,FP32-FT,3407,0.9991468801117707,0.9993624881027546,0.0002156079909839681,0.9980343309939695,0.9982257858732687,0.00019145487929916882,1.0,1.0,1.0,False
tinyml_mlp,FP32-FT,8192,0.9992387364784919,0.9994019307016929,0.00016319422320099086,0.9979909995498901,0.9982999140240872,0.0003089144741971195,1.0,1.0,1.0,False
tinyml_mlp,P25-noFT,42,0.9992353322088411,0.9949374379781363,-0.004297894230704813,0.9979651127041994,0.9967600825177754,-0.0012050301864240387,0.7100905966885348,0.7095959595959596,1.0,False
tinyml_mlp,P25-noFT,123,0.9993674466185191,0.9208998696837581,-0.07846757693476092,0.9984116161853219,0.9571880353515813,-0.04122358083374067,0.7100905966885348,0.7095959595959596,1.0,False
tinyml_mlp,P25-noFT,2026,0.9992545342200568,0.8890132410593958,-0.110241293160661,0.9980267703090027,0.9435951882129695,-0.05443158209603316,0.7100905966885348,0.7095959595959596,1.0,False
tinyml_mlp,P25-noFT,3407,0.9991468801117707,0.9809354066752993,-0.018211473436471337,0.9980343309939695,0.9728665583687187,-0.025167772625250828,0.7100905966885348,0.7095959595959596,1.0,False
tinyml_mlp,P25-noFT,8192,0.9992387364784919,0.9989448667867439,-0.0002938696917480499,0.9979909995498901,0.9978794571922395,-0.00011154235765065135,0.7100905966885348,0.7095959595959596,1.0,False
tinyml_mlp,P25-FP32-FT,42,0.9992353322088411,0.999124216570524,-0.00011111563831711635,0.9979651127041994,0.9980424617380339,7.73490338344951e-05,0.7100905966885348,0.7095959595959596,1.0,False
tinyml_mlp,P25-FP32-FT,123,0.9993674466185191,0.9993905048097456,2.3058191226499325e-05,0.9984116161853219,0.9984093567626777,-2.2594226442018694e-06,0.7100905966885348,0.7095959595959596,1.0,False
tinyml_mlp,P25-FP32-FT,2026,0.9992545342200568,0.9993119398715598,5.740565150291754e-05,0.9980267703090027,0.9982810746171044,0.0002543043081016938,0.7100905966885348,0.7095959595959596,1.0,False
tinyml_mlp,P25-FP32-FT,3407,0.9991468801117707,0.9991950556332676,4.817552149694038e-05,0.9980343309939695,0.9977703447942186,-0.00026398619975098736,0.7100905966885348,0.7095959595959596,1.0,False
tinyml_mlp,P25-FP32-FT,8192,0.9992387364784919,0.999323665080636,8.492860214404097e-05,0.9979909995498901,0.9980433935393407,5.239398945056095e-05,0.7100905966885348,0.7095959595959596,1.0,False
tinyml_mlp,P50-noFT,42,0.9992353322088411,0.8202819954756585,-0.1789533367331826,0.9979651127041994,0.8869373629319345,-0.11102774977226493,0.44683952931375615,0.44612794612794615,1.0,True
tinyml_mlp,P50-noFT,123,0.9993674466185191,0.6578981771664802,-0.3414692694520388,0.9984116161853219,0.7626120142341057,-0.2357996019512162,0.44683952931375615,0.44612794612794615,1.0,True
tinyml_mlp,P50-noFT,2026,0.9992545342200568,0.6560429259769186,-0.34321160824313823,0.9980267703090027,0.7453971672937518,-0.25262960301525084,0.44683952931375615,0.44612794612794615,1.0,True
tinyml_mlp,P50-noFT,3407,0.9991468801117707,0.8729646119484197,-0.12618226816335099,0.9980343309939695,0.83032355258367,-0.16771077841029958,0.44683952931375615,0.44612794612794615,1.0,False
tinyml_mlp,P50-noFT,8192,0.9992387364784919,0.9052896347896766,-0.09394910168881532,0.9979909995498901,0.8918161132802761,-0.10617488626961402,0.44683952931375615,0.44612794612794615,1.0,False
tinyml_mlp,P50-FP32-FT,42,0.9992353322088411,0.9987456314068774,-0.000489700801963644,0.9979651127041994,0.9972614155599097,-0.0007036971442897499,0.44683952931375615,0.44612794612794615,1.0,False
tinyml_mlp,P50-FP32-FT,123,0.9993674466185191,0.9989290248659578,-0.0004384217525612577,0.9984116161853219,0.9976560225646006,-0.0007555936207213065,0.44683952931375615,0.44612794612794615,1.0,False
tinyml_mlp,P50-FP32-FT,2026,0.9992545342200568,0.9988801585092583,-0.000374375710798569,0.9980267703090027,0.9977543519950786,-0.0002724183139241054,0.44683952931375615,0.44612794612794615,1.0,False
tinyml_mlp,P50-FP32-FT,3407,0.9991468801117707,0.9989781929213133,-0.0001686871904573728,0.9980343309939695,0.9971767423811029,-0.0008575886128666665,0.44683952931375615,0.44612794612794615,1.0,False
tinyml_mlp,P50-FP32-FT,8192,0.9992387364784919,0.9992350655004856,-3.6709780063537423e-06,0.9979909995498901,0.9978486437247982,-0.00014235582509192213,0.44683952931375615,0.44612794612794615,1.0,False
tinyml_mlp,DQ,42,0.9992353322088411,0.8602286269760326,-0.13900670523280845,0.9979651127041994,0.8287883870034118,-0.16917672570078757,1.0,1.0,0.35749156000291454,True
tinyml_mlp,DQ,123,0.9993674466185191,0.8471992281373693,-0.1521682184811498,0.9984116161853219,0.8105290745756281,-0.18788254160969386,1.0,1.0,0.35749156000291454,True
tinyml_mlp,DQ,2026,0.9992545342200568,0.8338431958486828,-0.165411338371374,0.9980267703090027,0.7964424149021712,-0.2015843554068315,1.0,1.0,0.35749156000291454,True
tinyml_mlp,DQ,3407,0.9991468801117707,0.8306201277207298,-0.16852675239104087,0.9980343309939695,0.7952719744976205,-0.202762356496349,1.0,1.0,0.35749156000291454,True
tinyml_mlp,DQ,8192,0.9992387364784919,0.8308553045422413,-0.1683834319362506,0.9979909995498901,0.7928471171153259,-0.20514388243456427,1.0,1.0,0.35749156000291454,True
tinyml_mlp,QAT,42,0.9992353322088411,0.9983990138047961,-0.0008363184040449667,0.9979651127041994,0.9973516496072591,-0.0006134630969403254,1.0,1.0,0.4470648240351687,False
tinyml_mlp,QAT,123,0.9993674466185191,0.9981036024972098,-0.00126384412130931,0.9984116161853219,0.9969018060147322,-0.0015098101705897093,1.0,1.0,0.4470648240351687,False
tinyml_mlp,QAT,2026,0.9992545342200568,0.9977151375596214,-0.0015393966604354548,0.9980267703090027,0.9966321145405862,-0.001394655768416464,1.0,1.0,0.4470648240351687,False
tinyml_mlp,QAT,3407,0.9991468801117707,0.9988494120065642,-0.0002974681052064776,0.9980343309939695,0.9977211510265712,-0.0003131799673983249,1.0,1.0,0.4470648240351687,False
tinyml_mlp,QAT,8192,0.9992387364784919,0.9979847354187951,-0.0012540010596968632,0.9979909995498901,0.9968685819317118,-0.0011224176181783285,1.0,1.0,0.4470648240351687,False
tinyml_mlp,P25-QAT,42,0.9992353322088411,0.9976165757765143,-0.0016187564323267845,0.9979651127041994,0.9962607005513219,-0.0017044121528775324,0.7100905966885348,0.7095959595959596,0.505199162818511,False
tinyml_mlp,P25-QAT,123,0.9993674466185191,0.9980119773272667,-0.0013554692912524091,0.9984116161853219,0.9966924449771084,-0.0017191712082135213,0.7100905966885348,0.7095959595959596,0.505199162818511,False
tinyml_mlp,P25-QAT,2026,0.9992545342200568,0.9981434899604608,-0.0011110442595960723,0.9980267703090027,0.996698592439572,-0.0013281778694306245,0.7100905966885348,0.7095959595959596,0.505199162818511,False
tinyml_mlp,P25-QAT,3407,0.9991468801117707,0.9982040767818816,-0.0009428033298890526,0.9980343309939695,0.9967848921737357,-0.0012494388202338724,0.7100905966885348,0.7095959595959596,0.505199162818511,False
tinyml_mlp,P25-QAT,8192,0.9992387364784919,0.998335351575974,-0.0009033849025179563,0.9979909995498901,0.9970376729707991,-0.000953326579090974,0.7100905966885348,0.7095959595959596,0.505199162818511,False
tinyml_mlp,P50-QAT,42,0.9992353322088411,0.9981008378540057,-0.0011344943548353692,0.9979651127041994,0.9967603608110841,-0.0012047518931153078,0.44683952931375615,0.44612794612794615,0.612245922208281,False
tinyml_mlp,P50-QAT,123,0.9993674466185191,0.9975893105831185,-0.001778136035400557,0.9984116161853219,0.9960966370455152,-0.0023149791398067165,0.44683952931375615,0.44612794612794615,0.612245922208281,False
tinyml_mlp,P50-QAT,2026,0.9992545342200568,0.9970080708948338,-0.002246463325223047,0.9980267703090027,0.9959473619503365,-0.002079408358666157,0.44683952931375615,0.44612794612794615,0.612245922208281,False
tinyml_mlp,P50-QAT,3407,0.9991468801117707,0.998321844873542,-0.000825035238228633,0.9980343309939695,0.9969556318431323,-0.0010786991508372479,0.44683952931375615,0.44612794612794615,0.612245922208281,False
tinyml_mlp,P50-QAT,8192,0.9992387364784919,0.9982576626435993,-0.000981073834892654,0.9979909995498901,0.997123473761949,-0.0008675257879411369,0.44683952931375615,0.44612794612794615,0.612245922208281,False
tinyml_mlp,PTQ,42,0.9992353322088411,0.996155211602688,-0.003080120606153036,0.9979651127041994,0.9930061223708564,-0.004958990333343016,1.0,1.0,0.4470648240351687,False
tinyml_mlp,PTQ,123,0.9993674466185191,0.9983673355552791,-0.001000111063239939,0.9984116161853219,0.9967018873205844,-0.0017097288647375253,1.0,1.0,0.4470648240351687,False
tinyml_mlp,PTQ,2026,0.9992545342200568,0.997164543928243,-0.0020899902918137814,0.9980267703090027,0.9947077518247919,-0.0033190184842107895,1.0,1.0,0.4470648240351687,False
tinyml_mlp,PTQ,3407,0.9991468801117707,0.9803717233673384,-0.01877515674443231,0.9980343309939695,0.971476266097878,-0.026558064896091582,1.0,1.0,0.4470648240351687,False
tinyml_mlp,PTQ,8192,0.9992387364784919,0.997192742550184,-0.0020459939283079542,0.9979909995498901,0.9940341069310791,-0.003956892618811048,1.0,1.0,0.4470648240351687,False
compact_dnn,FP32-FT,42,0.9991788167632977,0.999141552327956,-3.726443534168844e-05,0.9978999811020216,0.9978100064501629,-8.997465185867082e-05,1.0,1.0,1.0,False
compact_dnn,FP32-FT,123,0.9991193242420112,0.9991407487326659,2.1424490654675665e-05,0.9978829517551381,0.9979391471437865,5.619538864842788e-05,1.0,1.0,1.0,False
compact_dnn,FP32-FT,2026,0.9993279232350282,0.9993329942635754,5.0710285471877725e-06,0.9981271812773147,0.9980810493531945,-4.6131924120174084e-05,1.0,1.0,1.0,False
compact_dnn,FP32-FT,3407,0.9992595415641462,0.9993091637981878,4.962223404159083e-05,0.9979208789428778,0.9979776897602232,5.6810817345320785e-05,1.0,1.0,1.0,False
