architecture,seed,model_symbol,source_checkpoint_path,source_checkpoint_sha256,quantization_engine,quantized_dtype,float_linear_count,DQ_linear_count,float_state_bytes,DQ_state_bytes,DQ_to_float_state_size_ratio,roundtrip_file_size_bytes,mean_absolute_logit_delta,maximum_absolute_logit_delta,deterministic_DQ_outputs,serialization_roundtrip_exact,B0_source_unchanged,train_smoke_rows_used,validation_access_count,test_access_count,all_checks_passed
compact_dnn,42,CompactDNN,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\compact_dnn\b0\seed_42\best_checkpoint.pt,bfaa7bf463eb749ac96c61b2c1053ab23e9e96b7f6fbf23b35e18041a1a583f4,onednn,torch.qint8,4,4,104397,32051,0.30701073785645183,32329,1.02230703830719,3.5606765747070312,True,True,True,257,0,0,True
compact_dnn,123,CompactDNN,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\compact_dnn\b0\seed_123\best_checkpoint.pt,846daa7d293dc3485b0343cd0f3b2f78b5e80872923162019cd3b68e21ace6de,onednn,torch.qint8,4,4,104397,32051,0.30701073785645183,32329,0.8454917669296265,3.79768705368042,True,True,True,257,0,0,True
compact_dnn,2026,CompactDNN,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\compact_dnn\b0\seed_2026\best_checkpoint.pt,7404110900abe7bf20e384481f693da8abde7fb316436556b680f7786080da9a,onednn,torch.qint8,4,4,104397,32051,0.30701073785645183,32329,1.9705278873443604,4.094910621643066,True,True,True,257,0,0,True
compact_dnn,3407,CompactDNN,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\compact_dnn\b0\seed_3407\best_checkpoint.pt,79ac775ce6b798be6e1ecec074d116a2c3701fb8535ec48f03eac295a9445ea7,onednn,torch.qint8,4,4,104397,32051,0.30701073785645183,32329,1.3560690879821777,5.870062828063965,True,True,True,257,0,0,True
compact_dnn,8192,CompactDNN,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\compact_dnn\b0\seed_8192\best_checkpoint.pt,822635e009b505e48e0e03fc4944bcf087624692af90451888302a9528024fa8,onednn,torch.qint8,4,4,104397,32051,0.30701073785645183,32329,1.8926254510879517,5.1835479736328125,True,True,True,257,0,0,True
tinyml_mlp,42,TinyMLMLP,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\tinyml_mlp\b0\seed_42\best_checkpoint.pt,5abfac0829d550c2e2f452f992e5cc4b53b79412f506e8ef38d2335285aefa1f,onednn,torch.qint8,3,3,41173,14719,0.35749156000291454,14993,3.0746655464172363,7.838892459869385,True,True,True,257,0,0,True
tinyml_mlp,123,TinyMLMLP,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\tinyml_mlp\b0\seed_123\best_checkpoint.pt,eab045d2e16f00c850e93b72979e5e1e299c4e792944403cddd60df7c7fd371a,onednn,torch.qint8,3,3,41173,14719,0.35749156000291454,14993,2.744845151901245,7.987908840179443,True,True,True,257,0,0,True
tinyml_mlp,2026,TinyMLMLP,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\tinyml_mlp\b0\seed_2026\best_checkpoint.pt,6b60c988f01ec53e91ea7d9288ebd06cb4fd825ed093476150986c96d4223fa9,onednn,torch.qint8,3,3,41173,14719,0.35749156000291454,14993,1.740563988685608,7.334047794342041,True,True,True,257,0,0,True
tinyml_mlp,3407,TinyMLMLP,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\tinyml_mlp\b0\seed_3407\best_checkpoint.pt,d8e8c6350d2a580b0942dcdbb47f5c42850d52313f3eb8724244ca0b84ed5fb0,onednn,torch.qint8,3,3,41173,14719,0.35749156000291454,14993,2.783830165863037,8.409773826599121,True,True,True,257,0,0,True
tinyml_mlp,8192,TinyMLMLP,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\tinyml_mlp\b0\seed_8192\best_checkpoint.pt,cb2e01cfae3b36651853cbe4dab841cedabed53a57d25c508ef4b1e011ddb69b,onednn,torch.qint8,3,3,41173,14719,0.35749156000291454,14993,4.036014556884766,11.228340148925781,True,True,True,257,0,0,True
