architecture,variant,run_count,seeds,parameter_count,linear_macs_per_sample,mean_best_validation_macro_f1,mean_test_fingerprint_accuracy,mean_test_fingerprint_macro_f1,std_test_fingerprint_macro_f1,min_test_fingerprint_macro_f1,max_test_fingerprint_macro_f1,mean_test_raw_weighted_macro_f1,mean_test_gafgyt_fnr,mean_test_mirai_fnr,test_evaluation_count_per_run,fragility_triggered_in_any_run
tinyml_mlp,FP32-FT,5,"[42,123,2026,3407,8192]",9603,9504,0.9994158699661264,0.9996605665472463,0.9993869819740098,3.4968645322849514e-05,0.9993424665082218,0.9994444073042175,0.9983273614759355,0.0018732195191933476,0.00010569879096844481,1,False
compact_dnn,FP32-FT,5,"[42,123,2026,3407,8192]",25283,25056,0.9993255584670487,0.9995911736543697,0.999259629566686,9.891450273405765e-05,0.9991407487326659,0.9993736887110457,0.9980194688122846,0.0021683438198102146,0.00013984763112750986,1,False
