architecture,variant,seed,representation,test_fingerprint_macro_f1,test_fingerprint_accuracy,test_raw_weighted_macro_f1,test_gafgyt_fnr,test_mirai_fnr,float_parameter_count,float_linear_macs_per_sample,state_size_ratio_vs_float,test_evaluation_count,test_used_for_selection,fragility_gate_triggered,metrics_path,metrics_sha256,run_directory
compact_dnn,P25-noFT,2026,float32,0.9990736126813013,0.999488967067962,0.9981945585442805,0.0017420531633636216,0.00027644299176365905,17043,16872,1.0,1,False,False,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\compact_dnn\p25_noft\seed_2026\metrics.json,ddf2db58dcb6dc61ce8603cfdcfbb1cadd774903f934ca49e613fe908044dd33,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\compact_dnn\p25_noft\seed_2026
compact_dnn,P25-noFT,3407,float32,0.9988651935590536,0.9994028983636187,0.9980650478663299,0.0017625479064620198,0.00010163345285429948,17043,16872,1.0,1,False,False,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\compact_dnn\p25_noft\seed_3407\metrics.json,6dadb2cb351977f6e68247a985e000a1d9bedac9a2e01d31d89e35027bbc1711,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\compact_dnn\p25_noft\seed_3407
compact_dnn,P25-noFT,8192,float32,0.9985989382000634,0.9992200023668893,0.9985641264222763,0.0009427581825262044,0.000504101926157241,17043,16872,1.0,1,False,False,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\compact_dnn\p25_noft\seed_8192\metrics.json,0d6bcdc81e24fad4f9b166baae1d39bc27d1d6e2f9bfd31a8812ae176ea4d4d3,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\compact_dnn\p25_noft\seed_8192
compact_dnn,P25-FP32-FT,42,float32,0.9990766218611046,0.9994782084799191,0.9977296131890604,0.0023978849425122517,0.0002723776536494027,17043,16872,1.0,1,False,False,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\compact_dnn\p25\seed_42\metrics.json,af93bfbd9c9b23ebee675a98820b160d2de7876ac7085e687c81a0bfe18ffd88,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\compact_dnn\p25\seed_42
compact_dnn,P25-FP32-FT,123,float32,0.9991015701128284,0.9995104842440478,0.997781982684628,0.0023364007132170572,0.00021139758193688962,17043,16872,1.0,1,False,False,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\compact_dnn\p25\seed_123\metrics.json,61f0e401083a5560ef8faae66ccd4a3d1005462b3e8504c5d9e09dcd848f7420,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\compact_dnn\p25\seed_123
compact_dnn,P25-FP32-FT,2026,float32,0.9991779345436561,0.9995427600081765,0.997905737787561,0.002315905970118659,0.00019107089136605193,17043,16872,1.0,1,False,False,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\compact_dnn\p25\seed_2026\metrics.json,8963585150d57db033a4cca63429e7565926de5378e6632a25f5adac6f13f214,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\compact_dnn\p25\seed_2026
compact_dnn,P25-FP32-FT,3407,float32,0.9992141839998617,0.9995696564782838,0.9976646354391953,0.0025003586580042425,0.0001341561577676842,17043,16872,1.0,1,False,False,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\compact_dnn\p25\seed_3407\metrics.json,50e728b289212d2bdb527523bc2b73d4c4d1c2bc8451d0aadf024b1d583e7bb9,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\compact_dnn\p25\seed_3407
compact_dnn,P25-FP32-FT,8192,float32,0.9992321141463473,0.9995831047133374,0.9980294782944562,0.0022339269977250664,9.756811474015414e-05,17043,16872,1.0,1,False,False,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\compact_dnn\p25\seed_8192\metrics.json,f94fceb31b8f1ee08cff289d9fe18edfe3377f4722ca56b77a955bdd4a53a8eb,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\compact_dnn\p25\seed_8192
compact_dnn,P50-noFT,42,float32,0.9950565551069036,0.9972538704020484,0.9963450514777034,0.0011886950997068713,0.00128464684407803,10083,9968,1.0,1,False,False,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\compact_dnn\p50_noft\seed_42\metrics.json,18eeeb127dcf914c5f9bb4709a41d7c3f75b762edfc6d3e05f0b779251fb5bcb,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\compact_dnn\p50_noft\seed_42
compact_dnn,P50-noFT,123,float32,0.9300817610689759,0.9530468321337507,0.9689032292111825,0.0009632529256246025,0.05157287931637278,10083,9968,1.0,1,False,False,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\compact_dnn\p50_noft\seed_123\metrics.json,21e8519559ddd9a01aff055fb4d5e3573c4d52e61b7f869d7c5407b107e74435,C:\Users\bozku\Desktop\TinyML_IDS_IEEE\results\v2\phase5_compression\compact_dnn\p50_noft\seed_123
