split,row_count,element_count,different_row_count,different_row_rate,different_element_count,different_element_rate,mean_absolute_difference,maximum_absolute_difference,pipeline_a_unique_input_count,pipeline_b_unique_input_count,unique_count_difference_b_minus_a,absolute_unique_count_difference,relative_unique_count_difference,pipeline_a_duplicate_row_count,pipeline_b_duplicate_row_count
train,1738133,199885295,1684317,0.9690380425433497,26899024,0.13457230057868938,1.0809093571446893e-08,7.62939453125e-06,1594075,1594082,7,7,4.027309762831728e-06,144058,144051
validation,371884,42766660,360372,0.9690441105290897,5755114,0.13457010671396832,1.0811168127563488e-08,7.62939453125e-06,341080,341090,10,10,2.6890105516774048e-05,30804,30794
test,372659,42855785,361340,0.9696263876627158,5771255,0.1346668833624212,1.0815720925855065e-08,7.62939453125e-06,342040,342048,8,8,2.1467346823771867e-05,30619,30611
