endpoint_class,architecture,metric,metric_domain,direction,unit,variant,seed_count,mean,median,std_population,minimum,maximum
confirmatory,tinyml_mlp,serialized_state_dict_bytes,deployment,lower_is_better,bytes,FP32-FT,5,41173.0,41173.0,0.0,41173.0,41173.0
confirmatory,tinyml_mlp,serialized_state_dict_bytes,deployment,lower_is_better,bytes,P25-noFT,5,30101.0,30101.0,0.0,30101.0,30101.0
confirmatory,tinyml_mlp,serialized_state_dict_bytes,deployment,lower_is_better,bytes,P25-FP32-FT,5,30101.0,30101.0,0.0,30101.0,30101.0
confirmatory,tinyml_mlp,serialized_state_dict_bytes,deployment,lower_is_better,bytes,P50-noFT,5,19925.0,19925.0,0.0,19925.0,19925.0
confirmatory,tinyml_mlp,serialized_state_dict_bytes,deployment,lower_is_better,bytes,P50-FP32-FT,5,19925.0,19925.0,0.0,19925.0,19925.0
confirmatory,tinyml_mlp,serialized_state_dict_bytes,deployment,lower_is_better,bytes,DQ,5,14719.0,14719.0,0.0,14719.0,14719.0
confirmatory,tinyml_mlp,serialized_state_dict_bytes,deployment,lower_is_better,bytes,QAT,5,18407.0,18407.0,0.0,18407.0,18407.0
confirmatory,tinyml_mlp,serialized_state_dict_bytes,deployment,lower_is_better,bytes,P25-QAT,5,15207.0,15207.0,0.0,15207.0,15207.0
confirmatory,tinyml_mlp,serialized_state_dict_bytes,deployment,lower_is_better,bytes,P50-QAT,5,12199.0,12199.0,0.0,12199.0,12199.0
confirmatory,tinyml_mlp,serialized_state_dict_bytes,deployment,lower_is_better,bytes,PTQ,5,18407.0,18407.0,0.0,18407.0,18407.0
exploratory,tinyml_mlp,test_raw_weighted_macro_f1,predictive,higher_is_better,proportion,B0,5,0.9980857659484768,0.9980267703090027,0.00016482857308725297,0.9979651127041994,0.9984116161853219
exploratory,tinyml_mlp,test_raw_weighted_macro_f1,predictive,higher_is_better,proportion,FP32-FT,5,0.9983273614759355,0.9983019010746847,7.173190351485109e-05,0.9982257858732687,0.998436817821267
exploratory,tinyml_mlp,test_raw_weighted_macro_f1,predictive,higher_is_better,proportion,P25-noFT,5,0.9736578643286569,0.9728665583687187,0.021429157580268365,0.9435951882129695,0.9978794571922395
exploratory,tinyml_mlp,test_raw_weighted_macro_f1,predictive,higher_is_better,proportion,P25-FP32-FT,5,0.9981093262902749,0.9980433935393407,0.00022056392397657424,0.9977703447942186,0.9984093567626777
exploratory,tinyml_mlp,test_raw_weighted_macro_f1,predictive,higher_is_better,proportion,P50-noFT,5,0.8234172420647475,0.83032355258367,0.06090207921299944,0.7453971672937518,0.8918161132802761
exploratory,tinyml_mlp,test_raw_weighted_macro_f1,predictive,higher_is_better,proportion,P50-FP32-FT,5,0.997539435245098,0.9976560225646006,0.000269901002352615,0.9971767423811029,0.9978486437247982
exploratory,tinyml_mlp,test_raw_weighted_macro_f1,predictive,higher_is_better,proportion,DQ,5,0.8047757936188316,0.7964424149021712,0.013503821567765917,0.7928471171153259,0.8287883870034118
exploratory,tinyml_mlp,test_raw_weighted_macro_f1,predictive,higher_is_better,proportion,QAT,5,0.9970950606241722,0.9969018060147322,0.0003900733563661368,0.9966321145405862,0.9977211510265712
exploratory,tinyml_mlp,test_raw_weighted_macro_f1,predictive,higher_is_better,proportion,P25-QAT,5,0.9966948606225075,0.996698592439572,0.00025065542705913596,0.9962607005513219,0.9970376729707991
exploratory,tinyml_mlp,test_raw_weighted_macro_f1,predictive,higher_is_better,proportion,P50-QAT,5,0.9965766930824035,0.9967603608110841,0.0004696400755487555,0.9959473619503365,0.997123473761949
exploratory,tinyml_mlp,test_raw_weighted_macro_f1,predictive,higher_is_better,proportion,PTQ,5,0.9899852269090379,0.9940341069310791,0.009332916348035347,0.971476266097878,0.9967018873205844
exploratory,tinyml_mlp,batch_1_p95_ms,deployment,lower_is_better,milliseconds,B0,5,0.04827299999999999,0.052324999999999976,0.01181243057122454,0.029719999999999983,0.063
exploratory,tinyml_mlp,batch_1_p95_ms,deployment,lower_is_better,milliseconds,FP32-FT,5,0.035954999999999994,0.03271499999999999,0.0076217701356049725,0.0288,0.05032999999999997
exploratory,tinyml_mlp,batch_1_p95_ms,deployment,lower_is_better,milliseconds,P25-noFT,5,0.031184999999999997,0.029704999999999995,0.004341040197924918,0.0275,0.039205
exploratory,tinyml_mlp,batch_1_p95_ms,deployment,lower_is_better,milliseconds,P25-FP32-FT,5,0.04649599999999999,0.03242999999999997,0.024498243079861877,0.02711999999999998,0.09321499999999999
