profile,primary_profile,compressed_candidate_count,eligible_candidate_count,Pareto_candidate_count,selection_available,selected_architecture,selected_variant,selected_representation,selected_candidate_id,selected_mean_macro_f1,selected_mean_state_bytes,selected_mean_batch_1_median_ms,selected_mean_batch_32_samples_per_second,selected_mean_macro_f1_loss_vs_B0,selected_worst_seed_macro_f1_loss_vs_B0,selected_fragility_triggered,selected_deployment_improvement_count,selection_rule,model_inference_repeated,final_selection_locked
strict,False,18,5,2,True,tinyml_mlp,P50-FP32-FT,float32,tinyml_mlp::P50-FP32-FT,0.9989536146407785,19925.0,0.02541,1186343.7549770407,0.00029497128675737283,0.000489700801963644,False,3,eligible_then_Pareto_then_state_latency_throughput_macroF1_lexical,False,False
balanced,True,18,11,5,True,tinyml_mlp,P50-QAT,static_int8,tinyml_mlp::P50-QAT,0.9978555453698199,12199.0,0.10766,168078.67334476035,0.001393040557715941,0.002246463325223047,False,1,eligible_then_Pareto_then_state_latency_throughput_macroF1_lexical,False,False
relaxed,False,18,11,5,True,tinyml_mlp,P50-QAT,static_int8,tinyml_mlp::P50-QAT,0.9978555453698199,12199.0,0.10766,168078.67334476035,0.001393040557715941,0.002246463325223047,False,1,eligible_then_Pareto_then_state_latency_throughput_macroF1_lexical,False,False
