architecture,variant,candidate_role,representation,mean_test_fingerprint_macro_f1,std_test_fingerprint_macro_f1,mean_test_raw_weighted_macro_f1,mean_macro_f1_loss_vs_architecture_B0,worst_seed_macro_f1_loss_vs_architecture_B0,mean_raw_weighted_macro_f1_loss_vs_architecture_B0,fragility_triggered_in_any_run,mean_serialized_state_dict_bytes,state_size_ratio_vs_architecture_B0,state_size_reduction_fraction_vs_architecture_B0,mean_batch_1_median_ms,batch_1_latency_ratio_vs_architecture_B0,batch_1_latency_reduction_fraction_vs_architecture_B0,mean_batch_32_samples_per_second,batch_32_throughput_ratio_vs_architecture_B0,batch_32_throughput_gain_fraction_vs_architecture_B0,mean_peak_inference_RSS_delta_bytes,macro_f1_mean_improvement_effect_vs_B0,macro_f1_exact_two_sided_p_raw,macro_f1_Holm_adjusted_p,macro_f1_rank_biserial_improvement,decision_computation_performed
tinyml_mlp,B0,baseline_reference,float32,0.9992485859275358,7.03988518529849e-05,0.9980857659484768,0.0,0.0,0.0,False,41173.0,1.0,0.0,0.02838,1.0,0.0,901145.111378992,1.0,0.0,2111897.6,0.0,1.0,1.0,0.0,False
tinyml_mlp,FP32-FT,uncompressed_control,float32,0.9993869819740098,3.4968645322849514e-05,0.9983273614759355,-0.0001383960464739209,-7.696068569840175e-05,-0.0002415955274587267,False,41173.0,1.0,0.0,0.0267,0.9408033826638479,0.05919661733615211,943871.4823726129,1.0474134192752134,0.047413419275213364,2079129.6,0.00013839604647383207,0.0625,0.625,1.0,False
tinyml_mlp,P25-noFT,compressed_candidate,float32,0.9569461644366667,0.044038458309919655,0.9736578643286569,0.04230242149086916,0.110241293160661,0.02442790161981989,False,30101.0,0.7310859058120613,0.26891409418793866,0.02631,0.9270613107822411,0.07293868921775892,1087208.0098179034,1.206473847651668,0.2064738476516681,1385267.2,-0.04230242149086923,0.0625,0.625,-1.0,False
tinyml_mlp,P25-FP32-FT,compressed_candidate,float32,0.9992690763931465,9.594321658620924e-05,0.9981093262902749,-2.049046561070078e-05,0.00011111563831711635,-2.3560341798178897e-05,False,30101.0,0.7310859058120613,0.26891409418793866,0.02706,0.9534883720930233,0.046511627906976716,1017574.6801011197,1.1292017980810654,0.12920179808106536,1414758.4,2.0490465610656373e-05,0.625,0.625,0.3333333333333333,False
tinyml_mlp,P50-noFT,compressed_candidate,float32,0.7824954690714307,0.10602417208368228,0.8234172420647475,0.2167531168561051,0.34321160824313823,0.17466852388372922,True,19925.0,0.4839336458358633,0.5160663541641367,0.02722,0.9591261451726569,0.04087385482734307,1193413.86087045,1.3243303945179363,0.3243303945179363,1400832.0,-0.21675311685610515,0.0625,0.625,-1.0,False
tinyml_mlp,P50-FP32-FT,compressed_candidate,float32,0.9989536146407785,0.00016067119478705008,0.997539435245098,0.00029497128675737283,0.000489700801963644,0.0005463307033787279,False,19925.0,0.4839336458358633,0.5160663541641367,0.02541,0.8953488372093024,0.10465116279069764,1186343.7549770407,1.3164847037361374,0.31648470373613735,1328742.4,-0.00029497128675743945,0.0625,0.625,-1.0,False
tinyml_mlp,DQ,compressed_candidate,dynamic_int8,0.8405492966450112,0.011567465560238441,0.8047757936188316,0.15869928928252464,0.16852675239104087,0.1933099723296452,True,14719.0,0.35749156000291454,0.6425084399970855,0.11377999999999999,4.009161381254405,-3.0091613812544047,184982.40524081374,0.20527482522514204,-0.7947251747748579,6043238.4,-0.15869928928252475,0.0625,0.625,-1.0,False
tinyml_mlp,QAT,compressed_candidate,static_int8,0.9982103802573974,0.0003876923018597152,0.9970950606241722,0.001038205670138459,0.0015393966604354548,0.0009907053243045638,False,18407.0,0.4470648240351687,0.5529351759648313,0.10343,3.6444679351656095,-2.6444679351656095,171992.6788425923,0.19086013636516064,-0.8091398636348394,5321523.2,-0.0010382056701386145,0.0625,0.625,-1.0,False
tinyml_mlp,P25-QAT,compressed_candidate,static_int8,0.9980622942844194,0.00024594799585758454,0.9966948606225075,0.001186291643116455,0.0016187564323267845,0.001390905325969305,False,15207.0,0.3693439875646662,0.6306560124353338,0.10096000000000001,3.557434813248767,-2.557434813248767,169674.26636355594,0.1882873959155248,-0.8117126040844752,5176524.8,-0.001186291643116455,0.0625,0.625,-1.0,False
tinyml_mlp,P50-QAT,compressed_candidate,static_int8,0.9978555453698199,0.0004956603432279483,0.9965766930824035,0.001393040557715941,0.002246463325223047,0.0015090728660732688,False,12199.0,0.2962864012823938,0.7037135987176062,0.10766,3.793516560958422,-2.793516560958422,168078.67334476035,0.18651676763529818,-0.8134832323647019,5140480.0,-0.001393040557716052,0.0625,0.625,-1.0,False
