run_id,model_id,condition_id,condition_family,severity,perturbation_seed,perturbed_feature_array_sha256,test_rows,represented_raw_rows,fingerprint_macro_f1,fingerprint_accuracy,gafgyt_fnr,mirai_fnr,raw_weighted_macro_f1,raw_weighted_accuracy,macro_f1_drop_from_model_clean,macro_f1_retention_ratio,weighted_macro_f1_drop_from_model_clean,severe_fragility,material_sensitivity,model_retraining,test_used_for_model_selection,final_model_changed
tinyml_mlp_B0__feature_mask_10pct,tinyml_mlp_B0,feature_mask_10pct,feature_masking,0.1,2210,d03975452217b835a4e29748530ddd74830732a22493f8652b84f2e0de1dbed2,371796,1059393,0.9385584950186904,0.9593863301380327,0.15371057323796444,0.025286403070143293,0.9353988758808237,0.9236685535962574,0.06069603920136646,0.9392586802233114,0.06262789442817895,False,True,False,False,False
tinyml_mlp_P50_QAT__feature_mask_10pct,tinyml_mlp_P50_QAT,feature_mask_10pct,feature_masking,0.1,2210,d03975452217b835a4e29748530ddd74830732a22493f8652b84f2e0de1dbed2,371796,1059393,0.9277988258455743,0.9508789766431054,0.15393601541204682,0.036039222382125535,0.9306803140300476,0.9170742113644322,0.06920924504925952,0.9305830644007296,0.06526704792028892,False,True,False,False,False
hist_gradient_boosting_B0__feature_mask_10pct,hist_gradient_boosting_B0,feature_mask_10pct,feature_masking,0.1,2210,d03975452217b835a4e29748530ddd74830732a22493f8652b84f2e0de1dbed2,371796,1059393,0.9920664708616744,0.9948278087983733,0.011251613961019036,0.0011301639957395082,0.9861241173902001,0.9936822312399648,0.007671597491863302,0.9923263925475023,0.01291897739813741,False,False,False,False,False
tinyml_mlp_B0__feature_mask_20pct,tinyml_mlp_B0,feature_mask_20pct,feature_masking,0.2,2220,3e1a7a6925c739aba785e26e443a075cf9edcf3b1fa3aee0b1d674efd1c0571b,371796,1059393,0.8874710311511499,0.9228205790272085,0.2272867009612034,0.0564146970103504,0.8900283391973631,0.8756250041297233,0.11178350306890694,0.8881331039882078,0.10799843111163954,False,True,False,False,False
tinyml_mlp_P50_QAT__feature_mask_20pct,tinyml_mlp_P50_QAT,feature_mask_20pct,feature_masking,0.2,2220,3e1a7a6925c739aba785e26e443a075cf9edcf3b1fa3aee0b1d674efd1c0571b,371796,1059393,0.8788134810282804,0.914757017289051,0.22654889020966118,0.0664682781666951,0.8862059792741879,0.8697452220280859,0.1181945898665534,0.8814507190894939,0.10974138267614864,False,True,False,False,False
hist_gradient_boosting_B0__feature_mask_20pct,hist_gradient_boosting_B0,feature_mask_20pct,feature_masking,0.2,2220,3e1a7a6925c739aba785e26e443a075cf9edcf3b1fa3aee0b1d674efd1c0571b,371796,1059393,0.9672624733273575,0.9780471010984518,0.05119586825979139,0.01113902643282838,0.9405483627178629,0.9704793216492841,0.03247559502618025,0.9675158963590692,0.05849473207047462,False,False,False,False,False
tinyml_mlp_B0__scale_drift_minus_10pct,tinyml_mlp_B0,scale_drift_minus_10pct,scale_drift,-0.1,,520997dcebacf4efc2c9f547d8f1c7dcb9cd33276274de0b8d6b8bd0f26ff4dd,371796,1059393,0.9992347630620887,0.9995535185962194,0.0022749164839218627,0.00018294021513765024,0.9979989351773906,0.999001314903912,1.977115796814033e-05,0.9999802140923147,2.7835131612086172e-05,False,False,False,False,False
tinyml_mlp_P50_QAT__scale_drift_minus_10pct,tinyml_mlp_P50_QAT,scale_drift_minus_10pct,scale_drift,-0.1,,520997dcebacf4efc2c9f547d8f1c7dcb9cd33276274de0b8d6b8bd0f26ff4dd,371796,1059393,0.9796807212012245,0.9867023851789691,0.08115918266964528,0.0009268970900310203,0.970448776868769,0.9660720808991564,0.017327349693609273,0.982620652530869,0.02549858508156755,False,False,False,False,False
hist_gradient_boosting_B0__scale_drift_minus_10pct,hist_gradient_boosting_B0,scale_drift_minus_10pct,scale_drift,-0.1,,520997dcebacf4efc2c9f547d8f1c7dcb9cd33276274de0b8d6b8bd0f26ff4dd,371796,1059393,0.5782845767196206,0.8511065207802128,0.9999590105138032,0.026640160662162238,0.4215780082054193,0.5860016065803719,0.4214534916339171,0.5784360874363761,0.5774650865829183,True,True,False,False,False
tinyml_mlp_B0__scale_drift_plus_10pct,tinyml_mlp_B0,scale_drift_plus_10pct,scale_drift,0.1,,426fb694a445a6ccd3f0203a4e13c0848935f3590bd274af242b56a18d07cc77,371796,1059393,0.9992461946467227,0.9995669668312731,0.0023364007132170572,0.00015448284833852188,0.9979821590939291,0.9989909315995102,8.339573334126271e-06,0.9999916542051615,4.4611215073597776e-05,False,False,False,False,False
tinyml_mlp_P50_QAT__scale_drift_plus_10pct,tinyml_mlp_P50_QAT,scale_drift_plus_10pct,scale_drift,0.1,,426fb694a445a6ccd3f0203a4e13c0848935f3590bd274af242b56a18d07cc77,371796,1059393,0.9930683806440034,0.9954706344339369,0.0037710327301047064,0.0060288964233155,0.9948990914753534,0.9951745952635142,0.003939690250830408,0.9960484871027228,0.0010482704749831262,False,False,False,False,False
hist_gradient_boosting_B0__scale_drift_plus_10pct,hist_gradient_boosting_B0,scale_drift_plus_10pct,scale_drift,0.1,,426fb694a445a6ccd3f0203a4e13c0848935f3590bd274af242b56a18d07cc77,371796,1059393,0.45432326660478023,0.622803903215742,0.9726395179636423,0.3770885674561554,0.336565179972287,0.4085216723161282,0.5454148017487574,0.4544422994244906,0.6624779148160505,True,True,False,False,False
