epoch,train_loss,train_accuracy,validation_macro_f1,validation_accuracy,validation_gafgyt_fnr,validation_mirai_fnr,improved,epochs_without_improvement,epoch_elapsed_seconds,validation_elapsed_seconds
1,0.08671205532982815,0.9722504419767455,0.9957779828420524,0.9974098768951875,0.0063533703605025416,0.002329438739419931,True,0,20.478746300097555,1.2004424999468029
2,0.007299305200625187,0.9986152589986986,0.9975361974747473,0.9985341463217832,0.00526714897628755,0.000971615809286841,True,0,20.648272699909285,1.1856962000019848
3,0.0045404974257530475,0.9991065976881016,0.9979989061362735,0.9988515238154154,0.0031766851802512708,0.000731760860550823,True,0,20.50966670003254,1.1749507000204176
4,0.003224011505475687,0.99934705389021,0.9987778067576679,0.9992926247387688,0.0026028323734962333,0.00047564455935800165,True,0,20.98163050005678,1.247910000034608
5,0.002454350088479002,0.9994689110983245,0.998747878355652,0.9992737972603329,0.00241837968561065,0.0005284939548422241,False,1,21.331564599997364,1.2135752000613138
6,0.002043697220279219,0.9995777354499561,0.9988371238052437,0.9993302796956404,0.0020904637960362793,0.00044312185444461694,False,2,21.291566399973817,1.2286241999827325
7,0.0019242887927068463,0.9995946781633838,0.9991012949701917,0.9994782098833503,0.0022749164839218627,0.0002845736679919497,True,0,21.306522500002757,1.2272251999238506
8,0.0014877256618802976,0.9996898180157086,0.999226864330086,0.9995588990766466,0.0019060111081508069,0.00016667886268095788,False,1,21.352539399988018,1.2340691999997944
9,0.00139790189790363,0.999742601084464,0.9992526540660398,0.999580416194859,0.0023568954563154554,0.00016261352456681255,False,2,21.596685700002126,1.300122700049542
10,0.0016781789504268414,0.9996631006599187,0.999313451965436,0.9996180711517306,0.0021109585391346775,0.00011789480531099183,True,0,19.579705400043167,1.162508900044486
11,0.001181687734979602,0.9997543306552985,0.9990185106924027,0.9994297963673725,0.001803537392658816,0.0003252270491336251,False,1,18.926238400046714,1.0981356999836862
12,0.0011764035460852472,0.9997634536548365,0.999281590157849,0.999610002232401,0.0022134322546266683,7.724142416920543e-05,False,2,20.311561799957417,1.1807536999695003
13,0.001368387284038553,0.9997230517997397,0.9990726412269352,0.9994889684424565,0.0017420531633636216,9.350277662589779e-05,False,3,20.62653330003377,1.1994062000885606
14,0.001127822188282349,0.9997497691555296,0.9994126349836373,0.9996611053881553,0.0016805689340684271,0.00015854818645266722,False,4,20.838760799961165,1.2098940999712795
